Data file,,COLISIBRO_ISO10_T20_C1.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,20/03/2017,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Colsibro,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 12:20:24 on 20/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,colisibro_iso10_t20_c1-h001.tsv,,,,,,,,,,
,12:21:18,4,5,53.7,0.01,0,7,23,0.002,10,49.7,0.01
,12:21:19,4,5,54.7,0.26,0.5,7,23,0.035,10,49.8,0.29
,12:21:20,4,5,55.7,0.66,3.1,7,23,0.092,10,49.8,0.68
,12:21:21,4,5,56.7,1.08,6.6,7,23,0.15,10,49.8,1.08
,12:21:22,4,5,57.7,1.24,6.6,7,23,0.172,10,49.8,1.19
,12:21:23,5,3590,58.7,1.22,6.6,7,23,0.176,10,49.8,1.18
,12:21:24,5,3590,59.7,1.21,6.6,7,23,0.169,10,49.8,1.17
,12:21:25,5,3590,60.7,1.19,6.6,7,23,0.166,10,49.8,1.15
,12:21:26,5,3590,61.7,1.17,6.6,7,23,0.163,10,49.8,1.12
,12:21:27,5,3590,62.7,1.11,6.6,7,23,0.155,10,49.8,1.07
,12:21:28,5,3590,63.7,1.08,6.6,7,23,0.156,10,49.8,1.04
,12:21:29,5,3590,64.7,1.06,6.6,7,23,0.148,10,49.7,1.02
,12:21:30,5,3590,65.7,1.05,6.6,7,23,0.146,10,49.8,1.01
