Data file,,COLSIBRO_HEF_T13_C4.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Colsibro,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 12:11:35 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,colsibro_hef_t13_c4-h001.tsv,,,,,,,,,,
,12:12:26,4,5,51.1,0.02,0,7,21,0.003,10,49.6,0.02
,12:12:27,4,5,52.1,0.28,0,7,21,0.038,10,49.9,0.37
,12:12:28,4,5,53.1,0.76,4.4,7,21,0.114,10,49.9,0.77
,12:12:29,4,5,54.1,1.06,12,7,21,0.159,10,49.9,1.05
,12:12:30,4,5,55.1,1.02,13.3,7,21,0.147,10,49.9,0.96
,12:12:31,5,3590,56.1,0.84,13.3,7,21,0.116,10,49.9,0.8
,12:12:32,5,3590,57.1,0.78,13.3,7,21,0.108,10,49.9,0.75
,12:12:33,5,3590,58.1,0.76,13.3,7,21,0.103,10,49.9,0.73
,12:12:34,5,3590,59.1,0.77,13.3,7,21,0.103,10,49.9,0.74
,12:12:35,5,3590,60.1,0.77,13.3,7,21,0.104,10,49.9,0.75
,12:12:36,5,3590,61.1,0.79,13.3,8,21,0.102,10,49.9,0.76
,12:12:37,5,3590,62.1,0.8,13.3,7,21,0.108,10,49.8,0.77
,12:12:38,5,3590,63.1,0.8,13.3,7,21,0.112,10,49.9,0.77
