Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_004.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,13/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 12:06:02 on 13/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:11:12,4,-1,310.8,0.02,0,7,11.1,0.003,10,49.7,0.02
,12:11:13,4,-1,311.8,0.05,1.3,6,11.1,0.008,10,49.9,0.05
,12:11:14,4,-1,312.8,0.23,7.9,5,11.1,0.044,10,49.9,0.24
,12:11:15,4,-1,313.8,0.51,12.5,6,11.1,0.091,10,49.9,0.52
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,delrin500af-unhoned_iso10_12deg_004-h001.tsv,,,,,,,,,,
,12:11:17,5,5,315,0.84,13.3,7,11,0.117,10,49.9,0.83
,12:11:18,5,5,316,0.92,13.3,8,11,0.119,10,49.9,0.88
,12:11:19,5,5,317,0.9,13.3,8,11,0.118,10,49.9,0.87
,12:11:20,5,5,318,0.88,13.3,7,11,0.119,10,49.9,0.85
,12:11:21,5,5,319,0.87,13.3,7,10.9,0.117,10,49.9,0.84
,12:11:22,6,3590,320,0.87,13.3,7,10.9,0.116,10,49.9,0.83
,12:11:23,6,3590,321,0.86,13.3,7,10.9,0.115,10,49.9,0.83
,12:11:24,6,3590,322,0.85,13.3,8,10.9,0.111,10,49.9,0.82
,12:11:25,6,3590,323,0.85,13.3,8,10.9,0.11,10,49.9,0.81
,12:11:26,6,3590,324,0.84,13.3,7,10.9,0.113,10,49.9,0.81
,12:11:27,6,3590,325,0.83,13.3,7,10.9,0.12,10,49.9,0.8
,12:11:28,6,3590,326,0.83,13.3,7,10.9,0.124,10,49.9,0.79
,12:11:29,6,3590,327,0.82,13.3,7,10.8,0.119,10,49.9,0.79
,12:11:30,6,3590,328,0.82,13.3,7,10.8,0.118,10,49.9,0.79
