Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_007_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin 500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:52:39 on 22/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:53:27,4,-1,47.9,0.03,0,7,9.4,0.004,10,0.8,0.03
,09:53:28,4,-1,48.9,0.1,2.9,7,9.4,0.014,10,0.8,0.1
,09:53:29,4,-1,49.9,0.19,9.2,7,9.4,0.028,10,0.7,0.2
,09:53:30,4,-1,50.9,0.28,12.9,7,9.4,0.041,10,0.7,0.28
,09:53:31,4,-1,51.9,0.31,13.3,7,9.4,0.045,10,0.7,0.31
,09:53:32,4,-1,52.9,0.31,13.3,7,9.4,0.045,10,0.7,0.31
Fast data in,,delrin500af-unhoned_iso10_12deg_007_12hrs-h001.tsv,,,,,,,,,,
,09:53:34,5,5,54.4,0.29,13.3,7,9.3,0.043,10,0.7,0.29
,09:53:35,5,5,55.4,0.29,13.3,7,9.3,0.043,10,0.7,0.28
,09:53:36,5,5,56.4,0.29,13.3,7,9.3,0.043,10,0.7,0.28
,09:53:37,5,5,57.4,0.28,13.3,7,9.3,0.043,10,0.7,0.28
,09:53:38,5,5,58.4,0.28,13.3,7,9.3,0.041,10,0.7,0.28
,09:53:39,6,21600,59.4,0.28,13.3,7,9.3,0.041,10,0.7,0.28
,09:53:40,6,21600,60.4,0.28,13.3,7,9.3,0.04,10,0.7,0.27
,09:53:41,6,21600,61.4,0.28,13.3,7,9.3,0.042,10,0.7,0.27
,09:53:42,6,21600,62.4,0.28,13.3,6,9.3,0.043,10,0.7,0.27
,09:53:43,6,21600,63.4,0.27,13.3,7,9.3,0.041,10,0.7,0.27
,09:53:44,6,21600,64.4,0.27,13.3,7,9.3,0.039,10,0.7,0.26
