Data file,,DELRIN500AF_ISO10_-8C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,04/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin500AF on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:44:08 on 04/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:45:14,4,3600,65.5,0.03,0,7,-8.1,0.004,10,0.1,0.04
,15:45:15,4,3600,66.5,0.29,1.2,7,-8.1,0.041,10,0.1,0.31
,15:45:16,4,3600,67.5,0.66,6.4,7,-8.1,0.092,10,0.1,0.65
,15:45:17,4,3600,68.5,1.02,12.2,7,-8.1,0.147,10,0.1,0.98
,15:45:18,4,3600,69.5,1.13,13.3,7,-8.1,0.164,10,0.1,1.06
,15:45:19,4,3600,70.5,1.14,13.3,7,-8.2,0.165,10,0.1,1.07
,15:45:20,4,3600,71.5,1.13,13.3,7,-8.2,0.164,10,0.1,1.06
,15:45:21,4,3600,72.5,1.12,13.3,7,-8.2,0.162,10,0.1,1.05
,15:45:22,4,3600,73.5,1.12,13.3,7,-8.2,0.162,10,0.1,1.05
,15:45:23,4,3600,74.5,1.12,13.3,7,-8.2,0.161,10,0.1,1.05
,15:45:24,4,3600,75.5,1.12,13.3,7,-8.2,0.156,10,0.1,1.05
,15:45:25,4,3600,76.5,1.12,13.3,7,-8.2,0.156,10,0.1,1.05
,15:45:26,4,3600,77.5,1.12,13.3,7,-8.2,0.156,10,0.1,1.05
,15:45:27,4,3600,78.5,1.11,13.3,7,-8.2,0.161,10,0.1,1.04
,15:45:28,4,3600,79.5,1.11,13.3,7,-8.2,0.166,10,0.1,1.04
,15:45:29,4,3600,80.5,1.11,13.3,7,-8.2,0.16,10,0.1,1.04
,15:45:30,4,3600,81.5,1.11,13.3,7,-8.2,0.16,10,0.1,1.04
,15:45:31,4,3600,82.5,1.11,13.3,7,-8.3,0.155,10,0.1,1.04
,15:45:32,4,3600,83.5,1.11,13.3,7,-8.3,0.155,10,0.1,1.04
,15:45:33,4,3600,84.5,1.11,13.3,7,-8.3,0.155,10,0.1,1.04
,15:45:34,4,3600,85.5,1.11,13.3,7,-8.3,0.155,10,0.1,1.04
,15:45:35,4,3600,86.5,1.12,13.3,7,-8.3,0.161,10,0.1,1.05
,15:45:36,4,3600,87.5,1.12,13.3,7,-8.4,0.162,10,0.1,1.05
,15:45:37,4,3600,88.5,1.12,13.3,7,-8.4,0.169,10,0.1,1.05
