Data file,,DELRIN500AF_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:39:17 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:43:08,4,3600,217.6,0.06,0,7,11.5,0.009,10,0,0.08
,12:43:09,4,3600,218.6,0.43,1.2,7,11.4,0.062,10,0,0.44
,12:43:10,4,3600,219.6,0.87,6.3,7,11.4,0.121,10,0,0.85
,12:43:11,4,3600,220.6,1.27,12,7,11.4,0.176,10,0,1.2
,12:43:12,4,3600,221.6,1.33,13.3,7,11.4,0.185,10,0,1.24
,12:43:13,4,3600,222.6,1.31,13.3,7,11.4,0.183,10,0,1.23
,12:43:14,4,3600,223.6,1.3,13.3,7,11.4,0.187,10,0.1,1.21
,12:43:15,4,3600,224.6,1.29,13.3,7,11.4,0.18,10,0,1.2
,12:43:16,4,3600,225.6,1.29,13.3,7,11.4,0.179,10,0,1.2
,12:43:17,4,3600,226.6,1.29,13.3,7,11.3,0.173,10,0,1.21
,12:43:18,4,3600,227.6,1.29,13.3,7,11.3,0.18,10,0,1.21
,12:43:19,4,3600,228.6,1.28,13.3,7,11.3,0.185,10,0.1,1.2
,12:43:20,4,3600,229.6,1.28,13.3,7,11.3,0.184,10,0.1,1.19
,12:43:21,4,3600,230.6,1.27,13.3,7,11.3,0.19,10,0,1.19
,12:43:22,4,3600,231.6,1.27,13.3,7,11.3,0.184,10,0,1.19
,12:43:23,4,3600,232.6,1.28,13.3,7,11.3,0.191,10,0,1.2
,12:43:24,4,3600,233.6,1.28,13.3,7,11.2,0.192,10,0.1,1.2
,12:43:25,4,3600,234.6,1.29,13.3,7,11.2,0.186,10,0,1.2
,12:43:26,4,3600,235.6,1.29,13.3,7,11.2,0.18,10,0,1.21
,12:43:27,4,3600,236.6,1.29,13.3,7,11.2,0.173,10,0,1.2
,12:43:28,4,3600,237.6,1.28,13.3,7,11.2,0.178,10,0,1.2
,12:43:29,4,3600,238.6,1.28,13.3,7,11.2,0.184,10,0,1.2
,12:43:30,4,3600,239.6,1.28,13.3,7,11.1,0.191,10,0,1.2
,12:43:31,4,3600,240.6,1.28,13.3,7,11.1,0.191,10,0.1,1.2
,12:43:32,4,3600,241.6,1.27,13.3,7,11.1,0.184,10,0,1.19
