Data file,,DELRINNC010-UNHONED_ISO10_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,12/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,DelrinNC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 13:26:42 on 12/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:39:56,4,-1,792.4,0.05,0.1,7,11.1,0.007,10,49.7,0.05
,13:39:57,4,-1,793.4,0.12,2.5,7,11,0.016,10,49.9,0.12
,13:39:58,4,-1,794.4,0.2,9,7,11,0.03,10,49.9,0.2
,13:39:59,4,-1,795.4,0.26,13.1,6,11,0.041,10,49.9,0.25
,13:40:00,4,-1,796.4,0.29,13.3,6,11,0.045,10,49.9,0.28
,13:40:01,4,-1,797.4,0.29,13.3,7,11,0.044,10,49.9,0.28
,13:40:02,4,-1,798.4,0.29,13.3,7,10.9,0.042,10,49.9,0.28
,13:40:03,4,-1,799.4,0.29,13.3,7,10.9,0.042,10,49.9,0.28
,13:40:04,4,-1,800.4,0.29,13.3,7,10.9,0.043,10,49.9,0.28
,13:40:05,4,-1,801.4,0.29,13.3,6,10.9,0.045,10,49.9,0.28
,13:40:06,4,-1,802.4,0.28,13.3,6,10.9,0.044,10,49.9,0.28
,13:40:07,4,-1,803.4,0.28,13.3,7,10.9,0.041,10,49.9,0.27
,13:40:08,4,-1,804.4,0.29,13.3,7,10.9,0.041,10,49.9,0.28
,13:40:09,4,-1,805.4,0.29,13.3,7,10.8,0.042,10,49.9,0.28
,13:40:10,4,-1,806.4,0.29,13.3,7,10.8,0.042,10,49.9,0.28
,13:40:11,4,-1,807.4,0.29,13.3,7,10.8,0.042,10,49.8,0.28
,13:40:12,4,-1,808.4,0.29,13.3,7,10.8,0.043,10,49.9,0.28
,13:40:13,4,-1,809.4,0.29,13.3,7,10.8,0.04,10,49.9,0.28
,13:40:14,4,-1,810.4,0.29,13.3,7,10.7,0.038,10,49.9,0.28
