Data file,,DELRINNC010_ISO10_-8C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,31/03/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin NC010 on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:45:01 on 31/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,15:14:03,4,3600,1741.5,0.02,0,7,-7.8,0.003,10,0.8,0.02
,15:14:04,4,3600,1742.5,0.17,0,7,-7.8,0.024,10,0.9,0.18
,15:14:05,4,3600,1743.5,0.45,4.6,7,-7.8,0.064,10,0.9,0.45
,15:14:06,4,3600,1744.5,0.74,11.7,7,-7.8,0.103,10,0.8,0.72
,15:14:07,4,3600,1745.5,0.88,13.2,7,-7.8,0.118,10,0.7,0.82
,15:14:08,4,3600,1746.5,0.89,13.3,7,-7.8,0.12,10,0.7,0.83
,15:14:09,4,3600,1747.5,0.89,13.3,7,-7.8,0.124,10,0.8,0.83
,15:14:10,4,3600,1748.5,0.88,13.3,7,-7.8,0.123,10,0.9,0.83
,15:14:11,4,3600,1749.5,0.88,13.3,7,-7.8,0.127,10,0.9,0.82
,15:14:12,4,3600,1750.5,0.88,13.3,7,-7.8,0.122,10,0.8,0.82
,15:14:13,4,3600,1751.5,0.88,13.3,7,-7.8,0.122,10,0.7,0.82
,15:14:14,4,3600,1752.5,0.88,13.3,7,-7.8,0.123,10,0.6,0.83
,15:14:15,4,3600,1753.5,0.89,13.3,7,-7.9,0.128,10,0.6,0.83
,15:14:16,4,3600,1754.5,0.89,13.3,7,-7.9,0.129,10,0.6,0.84
,15:14:17,4,3600,1755.5,0.89,13.3,7,-7.9,0.129,10,0.6,0.84
,15:14:18,4,3600,1756.5,0.89,13.3,7,-7.9,0.125,10,0.6,0.84
,15:14:19,4,3600,1757.5,0.89,13.3,7,-7.9,0.12,10,0.5,0.84
,15:14:20,4,3600,1758.5,0.9,13.3,7,-7.9,0.125,10,0.5,0.84
,15:14:21,4,3600,1759.5,0.9,13.3,7,-7.9,0.13,10,0.5,0.84
,15:14:22,4,3600,1760.5,0.9,13.3,6,-7.9,0.14,10,0.5,0.84
,15:14:23,4,3600,1761.5,0.9,13.3,6,-8,0.141,10,0.5,0.84
,15:14:24,4,3600,1762.5,0.91,13.3,7,-8,0.131,10,0.5,0.85
,15:14:25,4,3600,1763.5,0.91,13.3,7,-8,0.132,10,0.5,0.85
