Data file,,DELRINNC010_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,31/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin NC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:24:38 on 31/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:30:16,4,3600,337.4,0.01,0,7,11.1,0.001,10,0.3,0.01
,10:30:17,4,3600,338.4,0.2,0,7,11.1,0.028,10,0.3,0.21
,10:30:18,4,3600,339.4,0.58,4,7,11.1,0.084,10,0.4,0.58
,10:30:19,4,3600,340.4,0.99,11.8,7,11,0.133,10,0.4,0.96
,10:30:20,4,3600,341.4,1.2,13.3,8,11,0.157,10,0.4,1.13
,10:30:21,4,3600,342.4,1.21,13.3,8,11,0.152,10,0.4,1.13
,10:30:22,4,3600,343.4,1.18,13.3,8,11,0.148,10,0.3,1.1
,10:30:23,4,3600,344.4,1.14,13.3,8,11,0.143,10,0.3,1.06
,10:30:24,4,3600,345.4,1.11,13.3,8,11,0.14,10,0.3,1.04
,10:30:25,4,3600,346.4,1.09,13.3,8,10.9,0.142,10,0.3,1.02
,10:30:26,4,3600,347.4,1.08,13.3,8,10.9,0.14,10,0.3,1
,10:30:27,4,3600,348.4,1.06,13.3,7,10.9,0.143,10,0.3,0.99
,10:30:28,4,3600,349.4,1.05,13.3,7,10.9,0.142,10,0.3,0.99
,10:30:29,4,3600,350.4,1.05,13.3,7,10.9,0.146,10,0.3,0.98
,10:30:30,4,3600,351.4,1.04,13.3,7,10.9,0.144,10,0.3,0.97
,10:30:31,4,3600,352.4,1.03,13.3,7,10.9,0.143,10,0.3,0.96
,10:30:32,4,3600,353.4,1.02,13.3,7,10.9,0.142,10,0.3,0.96
,10:30:33,4,3600,354.4,1.02,13.3,7,10.8,0.142,10,0.3,0.96
,10:30:34,4,3600,355.4,1.02,13.3,7,10.8,0.142,10,0.3,0.95
,10:30:35,4,3600,356.4,1.02,13.3,7,10.8,0.147,10,0.3,0.95
,10:30:36,4,3600,357.4,1.01,13.3,7,10.8,0.146,10,0.3,0.95
,10:30:37,4,3600,358.4,1,13.3,7,10.8,0.145,10,0.3,0.94
,10:30:38,4,3600,359.4,0.99,13.3,7,10.8,0.149,10,0.3,0.93
,10:30:39,4,3600,360.4,0.98,13.3,7,10.8,0.142,10,0.3,0.92
,10:30:40,4,3600,361.4,0.98,13.3,7,10.7,0.142,10,0.3,0.92
