Data file,,DELRINNC010_ISO10_12C_007_12HOURTEST.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG_12HRS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,08/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin NC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12 Hour Test,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:46:49 on 08/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:53:49,4,43200,419.4,0.02,0,7,11.3,0.003,10,49.9,0.02
,12:53:50,4,43200,420.4,0.06,0.3,6,11.3,0.01,10,50,0.07
,12:53:51,4,43200,421.4,0.28,5.1,6,11.3,0.049,10,50.1,0.28
,12:53:52,4,43200,422.4,0.57,11.2,6,11.3,0.096,10,50.1,0.56
,12:53:53,4,43200,423.4,0.83,13.2,6,11.3,0.129,10,50,0.79
,12:53:54,4,43200,424.4,0.92,13.3,7,11.2,0.132,10,50,0.86
,12:53:55,4,43200,425.4,0.93,13.3,7,11.2,0.129,10,50,0.87
,12:53:56,4,43200,426.4,0.92,13.3,7,11.2,0.129,10,50,0.86
,12:53:57,4,43200,427.4,0.92,13.3,7,11.2,0.133,10,50.1,0.86
,12:53:58,4,43200,428.4,0.91,13.3,7,11.2,0.131,10,50.1,0.85
,12:53:59,4,43200,429.4,0.9,13.3,7,11.1,0.13,10,50.1,0.84
,12:54:00,4,43200,430.4,0.89,13.3,7,11.2,0.129,10,50.1,0.84
,12:54:01,4,43200,431.4,0.89,13.3,7,11.1,0.129,10,50.1,0.84
,12:54:02,4,43200,432.4,0.89,13.3,7,11.1,0.129,10,50.1,0.83
,12:54:03,4,43200,433.4,0.89,13.3,7,11.1,0.128,10,50,0.83
,12:54:04,4,43200,434.4,0.89,13.3,7,11.1,0.129,10,50.1,0.84
,12:54:05,4,43200,435.4,0.89,13.3,7,11,0.125,10,50,0.84
,12:54:06,4,43200,436.4,0.89,13.3,7,11,0.12,10,50,0.84
,12:54:07,4,43200,437.4,0.89,13.3,7,11,0.12,10,50,0.84
,12:54:08,4,43200,438.4,0.89,13.3,7,11,0.12,10,50.1,0.84
,12:54:09,4,43200,439.4,0.89,13.3,7,11,0.124,10,50,0.83
,12:54:10,4,43200,440.4,0.88,13.3,7,10.9,0.127,10,50.1,0.82
,12:54:11,4,43200,441.4,0.87,13.3,7,10.9,0.126,10,50.1,0.82
,12:54:12,4,43200,442.4,0.87,13.3,7,10.9,0.131,10,50.1,0.82
,12:54:13,4,43200,443.4,0.87,13.3,7,10.9,0.126,10,50.1,0.81
