Data file,,DELRINNC010_PDMS_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/12/2016,,,,,,,,,,
Lubricant,,PDMS,,,,,,,,,,
Specimens,,POM NC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 14:19:44 on 01/12/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:20:44,4,-1,60.2,0.05,0,7,11.4,0.007,10,0.5,0.05
,14:20:45,4,-1,61.2,0.11,2.5,7,11.4,0.016,10,0.5,0.11
,14:20:46,4,-1,62.2,0.19,9.1,6,11.4,0.029,10,0.5,0.19
,14:20:47,4,-1,63.2,0.24,12.7,6,11.5,0.039,10,0.5,0.23
,14:20:48,4,-1,64.2,0.27,13.3,6,11.5,0.044,10,0.5,0.26
,14:20:49,4,-1,65.2,0.28,13.3,6,11.5,0.044,10,0.5,0.27
,14:20:50,4,-1,66.2,0.28,13.3,6,11.5,0.044,10,0.5,0.27
,14:20:51,4,-1,67.2,0.28,13.3,6,11.5,0.044,10,0.5,0.27
,14:20:52,4,-1,68.2,0.28,13.3,7,11.5,0.042,10,0.5,0.27
,14:20:53,4,-1,69.2,0.28,13.3,7,11.6,0.042,10,0.5,0.27
,14:20:54,4,-1,70.2,0.28,13.3,7,11.6,0.041,10,0.5,0.27
,14:20:55,4,-1,71.2,0.28,13.3,7,11.6,0.041,10,0.5,0.27
,14:20:56,4,-1,72.2,0.28,13.3,7,11.6,0.038,10,0.5,0.27
Fast data in,,delrinnc010_pdms_12deg_001-h001.tsv,,,,,,,,,,
,14:20:57,5,5,73.5,0.27,13.3,7,11.6,0.038,10,0.5,0.26
,14:20:58,5,5,74.5,0.27,13.3,7,11.7,0.037,10,0.5,0.26
,14:20:59,5,5,75.5,0.27,13.3,7,11.7,0.038,10,0.5,0.25
,14:21:00,5,5,76.5,0.27,13.3,7,11.7,0.04,10,0.5,0.26
,14:21:01,5,5,77.5,0.27,13.3,7,11.7,0.039,10,0.5,0.26
