s,,DELRIN_DRY_T12_PO5.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 15:55:56 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_dry_t12_po5-h001.tsv,,,,,,,,,,
,15:57:00,4,5,63.6,0.01,0,7,22,0.002,10,49.7,0.01
,15:57:01,4,5,64.6,0.38,0.1,7,22,0.053,10,49.8,0.43
,15:57:02,4,5,65.6,1.18,4.9,7,22,0.165,10,49.9,1.23
,15:57:03,4,5,66.6,2.15,11.4,7,22,0.299,10,49.9,2.17
,15:57:04,4,5,67.6,2.76,13.2,7,22,0.399,10,49.9,2.7
,15:57:05,5,3590,68.6,2.94,13.3,7,22,0.425,10,49.9,2.85
,15:57:06,5,3590,69.6,2.96,13.3,7,22,0.412,10,49.8,2.85
,15:57:07,5,3590,70.6,2.94,13.3,7,22,0.41,10,49.9,2.84
,15:57:08,5,3590,71.6,2.92,13.3,7,22,0.392,10,49.9,2.81
,15:57:09,5,3590,72.6,2.88,13.3,7,22,0.387,10,49.8,2.78
,15:57:10,5,3590,73.6,2.85,13.3,7,22,0.384,10,49.9,2.75
,15:57:11,5,3590,74.6,2.84,13.3,7,22,0.382,10,49.9,2.74
,15:57:12,5,3590,75.6,2.84,13.3,7,22,0.395,10,49.9,2.74
