Data file,,DELRIN_HEF_T40_PO3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,30/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 14:05:41 on 30/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t40_po3-h001.tsv,,,,,,,,,,
,14:06:35,4,5,53.2,0.02,0,7,21,0.002,10,49.7,0.02
,14:06:36,4,5,54.2,0.41,0.8,8,21,0.054,10,49.8,0.46
,14:06:37,4,5,55.2,1.06,5.8,8,21,0.137,10,49.9,1.08
,14:06:38,4,5,56.2,1.61,11.5,7,22,0.216,10,49.8,1.59
,14:06:39,4,5,57.2,1.71,13.3,7,22,0.238,10,49.9,1.63
,14:06:40,5,3590,58.2,1.52,13.3,7,22,0.219,10,49.9,1.45
,14:06:41,5,3590,59.2,1.39,13.3,7,22,0.201,10,49.8,1.33
,14:06:42,5,3590,60.2,1.3,13.3,7,22,0.188,10,49.8,1.25
,14:06:43,5,3590,61.2,1.24,13.3,7,22,0.172,10,49.8,1.19
,14:06:44,5,3590,62.2,1.19,13.3,7,22,0.165,10,49.8,1.14
,14:06:45,5,3590,63.2,1.15,13.3,7,22,0.16,10,49.8,1.1
,14:06:46,5,3590,64.2,1.11,13.3,7,22,0.155,10,49.9,1.07
,14:06:47,5,3590,65.2,1.09,13.3,7,21,0.152,10,49.8,1.05
