Data file,,DRYSLIDE_ISO10_-8C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,16/05/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,DrySlide on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:37:44 on 16/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:52:33,4,3600,889.7,0.02,0,7,-7.5,0.003,10,50,0.02
,16:52:34,4,3600,890.7,0.28,0.3,7,-7.5,0.039,10,50.1,0.31
,16:52:35,4,3600,891.7,0.7,4.4,7,-7.5,0.102,10,50.1,0.71
,16:52:36,4,3600,892.7,1.15,11.7,7,-7.5,0.166,10,50.1,1.14
,16:52:37,4,3600,893.7,1.34,13.3,7,-7.5,0.193,10,50.1,1.28
,16:52:38,4,3600,894.7,1.35,13.3,7,-7.5,0.196,10,50.1,1.29
,16:52:39,4,3600,895.7,1.34,13.3,7,-7.5,0.201,10,50.1,1.28
,16:52:40,4,3600,896.7,1.32,13.3,7,-7.4,0.198,10,50.1,1.26
,16:52:41,4,3600,897.7,1.31,13.3,7,-7.4,0.182,10,50.1,1.25
,16:52:42,4,3600,898.7,1.29,13.3,7,-7.4,0.174,10,50.1,1.23
,16:52:43,4,3600,899.7,1.28,13.3,7,-7.4,0.172,10,50.1,1.22
,16:52:44,4,3600,900.7,1.26,13.3,7,-7.4,0.175,10,50.1,1.2
,16:52:45,4,3600,901.7,1.25,13.3,7,-7.4,0.18,10,50.1,1.19
,16:52:46,4,3600,902.7,1.24,13.3,7,-7.5,0.179,10,50.1,1.19
,16:52:47,4,3600,903.7,1.24,13.3,7,-7.5,0.172,10,50.1,1.18
,16:52:48,4,3600,904.7,1.23,13.3,7,-7.5,0.178,10,50.1,1.18
,16:52:49,4,3600,905.7,1.23,13.3,7,-7.5,0.177,10,50.1,1.17
,16:52:50,4,3600,906.7,1.22,13.3,7,-7.5,0.17,10,50.1,1.17
,16:52:51,4,3600,907.7,1.21,13.3,7,-7.5,0.169,10,50.1,1.16
,16:52:52,4,3600,908.7,1.21,13.3,7,-7.5,0.168,10,50.1,1.15
,16:52:53,4,3600,909.7,1.2,13.3,7,-7.5,0.174,10,50.1,1.15
,16:52:54,4,3600,910.7,1.2,13.3,7,-7.5,0.18,10,50.1,1.14
,16:52:55,4,3600,911.7,1.2,13.3,7,-7.4,0.179,10,50.1,1.14
,16:52:56,4,3600,912.7,1.2,13.3,7,-7.4,0.179,10,50.1,1.14
