Data file,,DRYSLIDE_ISO10_12C_002__12HOURTEST.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG_12HRS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,09/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Dryslide on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12 Hour Test,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 19:27:37 on 16/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,19:30:42,4,43200,185.7,0.02,0,7,11,0.003,10,50,0.02
,19:30:43,4,43200,186.7,0.17,0,7,11,0.024,10,50.1,0.18
,19:30:44,4,43200,187.7,0.42,4.2,7,11,0.059,10,50.1,0.43
,19:30:45,4,43200,188.7,0.71,11.9,7,11,0.095,10,50.2,0.7
,19:30:46,4,43200,189.7,0.84,13.3,7,11,0.114,10,50.1,0.81
,19:30:47,4,43200,190.7,0.87,13.3,7,10.9,0.118,10,50.1,0.84
,19:30:48,4,43200,191.7,0.87,13.3,8,10.9,0.113,10,50.1,0.83
,19:30:49,4,43200,192.7,0.86,13.3,8,10.9,0.111,10,50.1,0.82
,19:30:50,4,43200,193.7,0.84,13.3,8,10.9,0.106,10,50.1,0.8
,19:30:51,4,43200,194.7,0.83,13.3,8,10.9,0.108,10,50.1,0.8
,19:30:52,4,43200,195.7,0.83,13.3,7,10.9,0.111,10,50.1,0.79
,19:30:53,4,43200,196.7,0.82,13.3,7,10.9,0.119,10,50.1,0.78
,19:30:54,4,43200,197.7,0.82,13.3,7,10.9,0.122,10,50.1,0.78
,19:30:55,4,43200,198.7,0.81,13.3,7,10.9,0.122,10,50.2,0.78
,19:30:56,4,43200,199.7,0.81,13.3,7,10.9,0.122,10,50.1,0.78
,19:30:57,4,43200,200.7,0.81,13.3,7,10.9,0.122,10,50.1,0.78
,19:30:58,4,43200,201.7,0.82,13.3,7,10.9,0.122,10,50.1,0.78
,19:30:59,4,43200,202.7,0.81,13.3,7,10.9,0.122,10,50.1,0.78
,19:31:00,4,43200,203.7,0.81,13.3,7,10.9,0.122,10,50.1,0.78
,19:31:01,4,43200,204.7,0.81,13.3,7,11,0.118,10,50.1,0.78
,19:31:02,4,43200,205.7,0.82,13.3,7,11,0.118,10,50.1,0.78
,19:31:03,4,43200,206.7,0.82,13.3,7,11,0.119,10,50.1,0.78
,19:31:04,4,43200,207.7,0.82,13.3,7,11,0.115,10,50.1,0.79
,19:31:05,4,43200,208.7,0.83,13.3,7,11,0.111,10,50.1,0.79
,19:31:06,4,43200,209.7,0.82,13.3,7,11.1,0.11,10,50.1,0.78
