Data file,,DRYSLIDE_ISO10_12C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,17/05/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Dryslide on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:54:03 on 17/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:57:15,4,3600,191.8,0.04,0,7,11.1,0.005,10,50,0.03
,10:57:16,4,3600,192.8,0.2,0,7,11.1,0.03,10,50.1,0.24
,10:57:17,4,3600,193.8,0.84,4.9,7,11.1,0.126,10,50.2,0.87
,10:57:18,4,3600,194.8,1.61,11.8,7,11.1,0.224,10,50.2,1.61
,10:57:19,4,3600,195.8,2.23,13.2,8,11,0.29,10,50.2,2.16
,10:57:20,4,3600,196.8,2.39,13.3,8,11,0.301,10,50.2,2.29
,10:57:21,4,3600,197.8,2.42,13.3,8,11,0.295,10,50.2,2.31
,10:57:22,4,3600,198.8,2.4,13.3,8,10.9,0.284,10,50.2,2.29
,10:57:23,4,3600,199.8,2.35,13.3,8,10.9,0.286,10,50.3,2.24
,10:57:24,4,3600,200.8,2.31,13.3,8,10.9,0.3,10,50.2,2.2
,10:57:25,4,3600,201.8,2.28,13.3,7,10.9,0.318,10,50.2,2.18
,10:57:26,4,3600,202.8,2.3,13.3,7,10.9,0.32,10,50.2,2.2
,10:57:27,4,3600,203.8,2.3,13.3,7,11,0.32,10,50.3,2.2
,10:57:28,4,3600,204.8,2.3,13.3,7,11,0.32,10,50.2,2.19
,10:57:29,4,3600,205.8,2.3,13.3,7,11,0.32,10,50.2,2.19
,10:57:30,4,3600,206.8,2.29,13.3,7,11,0.319,10,50.3,2.18
,10:57:31,4,3600,207.8,2.29,13.3,7,11.1,0.318,10,50.3,2.18
,10:57:32,4,3600,208.8,2.27,13.3,7,11.2,0.328,10,50.2,2.17
,10:57:33,4,3600,209.8,2.26,13.3,7,11.3,0.339,10,50.2,2.16
,10:57:34,4,3600,210.8,2.25,13.3,7,11.4,0.337,10,50.3,2.15
,10:57:35,4,3600,211.8,2.25,13.3,7,11.4,0.338,10,50.3,2.16
,10:57:36,4,3600,212.8,2.26,13.3,7,11.5,0.327,10,50.3,2.16
,10:57:37,4,3600,213.8,2.26,13.3,7,11.6,0.314,10,50.2,2.16
,10:57:38,4,3600,214.8,2.24,13.3,7,11.6,0.312,10,50.2,2.14
,10:57:39,4,3600,215.8,2.22,13.3,7,11.6,0.309,10,50.3,2.12
