Data file,,DURATRON_DRY_T19_D5.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,23/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Duratron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:48:10 on 23/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,duratron_dry_t19_d5-h001.tsv,,,,,,,,,,
,13:48:58,4,5,48,0.03,0,7,21,0.004,10,49.6,0.04
,13:48:59,4,5,49,0.39,1.1,7,21,0.055,10,49.8,0.43
,13:49:00,4,5,50,1.01,6.6,7,21,0.141,10,49.8,1.05
,13:49:01,4,5,51,1.76,11.9,7,21,0.246,10,49.8,1.76
,13:49:02,4,5,52,2.23,13.3,7,21,0.322,10,49.9,2.18
,13:49:03,5,3590,53,2.49,13.3,7,21,0.374,10,49.8,2.43
,13:49:04,5,3590,54,2.66,13.3,7,21,0.398,10,49.8,2.58
,13:49:05,5,3590,55,2.78,13.3,7,21,0.401,10,49.8,2.69
,13:49:06,5,3590,56,2.87,13.3,7,21,0.414,10,49.8,2.78
,13:49:07,5,3590,57,2.94,13.3,7,21,0.41,10,49.8,2.85
,13:49:08,5,3590,58,3,13.3,7,21,0.418,10,49.8,2.9
,13:49:09,5,3590,59,3.06,13.3,7,21,0.426,10,49.8,2.96
,13:49:10,5,3590,60,3.1,13.3,7,21,0.432,10,49.8,3
,13:49:11,5,3590,61,3.14,13.3,7,21,0.438,10,49.7,3.03
