Data file,,DURATRON_HEF_T11_D4.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,24/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Duratron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 09:47:05 on 24/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,duratron_hef_t11_d4-h001.tsv,,,,,,,,,,
,09:47:58,4,5,53.1,0.02,0,7,20,0.003,10,49.6,0.03
,09:47:59,4,5,54.1,0.35,0.6,7,20,0.047,10,49.8,0.37
,09:48:00,4,5,55.1,0.66,5.1,7,20,0.089,10,49.8,0.66
,09:48:01,4,5,56.1,0.89,11.1,7,20,0.124,10,49.8,0.86
,09:48:02,4,5,57.1,0.75,13.3,7,20,0.105,10,49.8,0.71
,09:48:03,5,3590,58.1,0.64,13.3,7,20,0.089,10,49.8,0.61
,09:48:04,5,3590,59.1,0.62,13.3,7,20,0.089,10,49.7,0.6
,09:48:05,5,3590,60.1,0.63,13.3,7,20,0.091,10,49.7,0.61
,09:48:06,5,3590,61.1,0.63,13.3,7,20,0.088,10,49.7,0.61
,09:48:07,5,3590,62.1,0.64,13.3,7,20,0.088,10,49.7,0.61
,09:48:08,5,3590,63.1,0.63,13.3,7,20,0.091,10,49.7,0.61
,09:48:09,5,3590,64.1,0.65,13.3,7,20,0.09,10,49.7,0.62
,09:48:10,5,3590,65.1,0.67,13.3,7,20,0.093,10,49.7,0.64
