Data file,,HONEDPEEK_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:42:33 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:45:01,4,3600,148.2,0.02,0,7,11.5,0.003,10,0,0.03
,12:45:02,4,3600,149.2,0.31,0.4,7,11.5,0.045,10,0,0.33
,12:45:03,4,3600,150.2,0.69,5.1,7,11.5,0.097,10,0,0.69
,12:45:04,4,3600,151.2,1.09,12.1,7,11.5,0.147,10,0,1.06
,12:45:05,4,3600,152.2,1.21,13.3,8,11.5,0.158,10,0,1.14
,12:45:06,4,3600,153.2,1.23,13.3,8,11.5,0.155,10,0,1.15
,12:45:07,4,3600,154.2,1.22,13.3,8,11.5,0.154,10,0,1.15
,12:45:08,4,3600,155.2,1.21,13.3,8,11.5,0.152,10,0,1.13
,12:45:09,4,3600,156.2,1.2,13.3,8,11.4,0.156,10,0,1.12
,12:45:10,4,3600,157.2,1.18,13.3,8,11.4,0.153,10,0,1.1
,12:45:11,4,3600,158.2,1.16,13.3,8,11.4,0.151,10,0.1,1.09
,12:45:12,4,3600,159.2,1.15,13.3,7,11.4,0.155,10,0,1.07
,12:45:13,4,3600,160.2,1.14,13.3,7,11.4,0.158,10,0,1.06
,12:45:14,4,3600,161.2,1.12,13.3,7,11.4,0.157,10,0.1,1.05
,12:45:15,4,3600,162.2,1.11,13.3,7,11.4,0.161,10,0,1.04
,12:45:16,4,3600,163.2,1.11,13.3,7,11.4,0.166,10,0.1,1.04
,12:45:17,4,3600,164.2,1.1,13.3,7,11.4,0.166,10,0.1,1.03
,12:45:18,4,3600,165.2,1.1,13.3,7,11.4,0.165,10,0.1,1.03
,12:45:19,4,3600,166.2,1.1,13.3,7,11.3,0.164,10,0.1,1.03
,12:45:20,4,3600,167.2,1.1,13.3,6,11.3,0.171,10,0.1,1.03
,12:45:21,4,3600,168.2,1.1,13.3,6,11.3,0.172,10,0.1,1.03
,12:45:22,4,3600,169.2,1.11,13.3,7,11.3,0.166,10,0,1.04
,12:45:23,4,3600,170.2,1.12,13.3,6,11.3,0.174,10,0.1,1.05
,12:45:24,4,3600,171.2,1.11,13.3,7,11.3,0.167,10,0.1,1.04
,12:45:25,4,3600,172.2,1.11,13.3,7,11.4,0.167,10,0,1.04
