Data file,,NYLATRON_DRY_T21_N2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,28/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Nylatron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 10:03:56 on 28/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,nylatron_dry_t21_n2-h001.tsv,,,,,,,,,,
,10:04:49,4,5,52.5,0.03,0,7,20,0.003,10,49.6,0.03
,10:04:50,4,5,53.5,0.42,0.8,7,20,0.059,10,49.8,0.47
,10:04:51,4,5,54.5,1.13,6.4,7,20,0.163,10,49.9,1.16
,10:04:52,4,5,55.5,1.88,11.9,7,20,0.261,10,50,1.87
,10:04:53,4,5,56.5,2.24,13.3,7,20,0.311,10,50,2.17
,10:04:54,5,3590,57.5,2.28,13.3,7,20,0.317,10,50,2.2
,10:04:55,5,3590,58.5,2.27,13.3,7,20,0.305,10,50,2.18
,10:04:56,5,3590,59.5,2.25,13.3,7,20,0.303,10,49.9,2.17
,10:04:57,5,3590,60.5,2.24,13.3,8,20,0.292,10,50,2.17
,10:04:58,5,3590,61.5,2.23,13.3,7,20,0.3,10,50,2.15
,10:04:59,5,3590,62.5,2.2,13.3,7,21,0.296,10,49.9,2.12
,10:05:00,5,3590,63.5,2.17,13.3,7,21,0.302,10,49.9,2.09
,10:05:01,5,3590,64.5,2.14,13.3,7,21,0.309,10,50,2.06
,10:05:02,5,3590,65.5,2.12,13.3,7,21,0.295,10,50,2.04
