Data file,,NYLATRON_HEF_T27_N2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,28/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Nylatron,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 17:41:42 on 28/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,nylatron_hef_t27_n2-h001.tsv,,,,,,,,,,
,17:42:37,4,5,54.9,0.04,0,7,21,0.005,10,49.7,0.05
,17:42:38,4,5,55.9,0.5,0.6,7,21,0.072,10,49.8,0.54
,17:42:39,4,5,56.9,1.12,6.3,7,21,0.156,10,49.9,1.15
,17:42:40,4,5,57.9,1.77,12.1,7,21,0.247,10,50,1.76
,17:42:41,4,5,58.9,1.98,13.3,7,21,0.267,10,50,1.92
,17:42:42,5,3590,59.9,2.02,13.3,7,21,0.281,10,50,1.95
,17:42:43,5,3590,60.9,2.01,13.3,7,21,0.29,10,49.9,1.94
,17:42:44,5,3590,61.9,2,13.3,7,21,0.289,10,50,1.93
,17:42:45,5,3590,62.9,2,13.3,7,21,0.279,10,50,1.93
,17:42:46,5,3590,63.9,2,13.3,7,21,0.269,10,49.9,1.93
,17:42:47,5,3590,64.9,1.99,13.3,7,21,0.277,10,50,1.92
,17:42:48,5,3590,65.9,1.97,13.3,7,22,0.285,10,49.9,1.9
,17:42:49,5,3590,66.9,1.96,13.3,7,21,0.284,10,50,1.9
,17:42:50,5,3590,67.9,1.96,13.3,7,22,0.273,10,49.9,1.89
