Data file,,PEEK_DRY_T18_PE2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,27/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:02:49 on 27/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_dry_t18_pe2-h001.tsv,,,,,,,,,,
,13:03:38,4,5,48.9,0.03,0,7,21,0.004,10,49.6,0.05
,13:03:39,4,5,49.9,0.58,0.8,7,21,0.077,10,49.8,0.64
,13:03:40,4,5,50.9,1.62,5.6,7,21,0.218,10,49.9,1.68
,13:03:41,4,5,51.9,2.77,12.1,7,21,0.373,10,49.9,2.77
,13:03:42,4,5,52.9,3.4,13.3,7,21,0.491,10,49.9,3.31
,13:03:43,5,3590,53.9,3.5,13.3,7,21,0.524,10,49.9,3.37
,13:03:44,5,3590,54.9,3.46,13.3,7,21,0.5,10,49.8,3.34
,13:03:45,5,3590,55.9,3.43,13.3,7,21,0.495,10,49.9,3.31
,13:03:46,5,3590,56.9,3.42,13.3,7,21,0.494,10,49.9,3.3
,13:03:47,5,3590,57.9,3.41,13.3,7,21,0.474,10,49.9,3.29
,13:03:48,5,3590,58.9,3.39,13.3,7,21,0.472,10,49.9,3.27
,13:03:49,5,3590,59.9,3.36,13.3,7,21,0.469,10,49.9,3.24
,13:03:50,5,3590,60.9,3.33,13.3,7,21,0.464,10,49.9,3.22
