Data file,,PEEK_HEF_T42_PE9.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,TIMO,,,,,,,,,,
Date,,03/04/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,PEEK,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 18:45:15 on 03/04/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,peek_hef_t42_pe9-h001.tsv,,,,,,,,,,
,18:46:13,5,5,57.1,0.07,0,7,22,0.009,10,49.8,0.11
,18:46:14,5,5,58.1,0.54,0.7,7,22,0.076,10,49.9,0.57
,18:46:15,5,5,59.1,0.9,6.6,7,22,0.126,10,50,0.9
,18:46:16,5,5,60.1,1.12,12.7,7,22,0.156,10,50,1.06
,18:46:17,5,5,61.1,0.87,13.3,7,22,0.117,10,49.9,0.82
,18:46:18,6,10790,62.1,0.73,13.3,7,22,0.098,10,49.9,0.7
,18:46:19,6,10790,63.1,0.67,13.3,7,21,0.093,10,49.9,0.64
,18:46:20,6,10790,64.1,0.64,13.3,7,22,0.09,10,50,0.62
,18:46:21,6,10790,65.1,0.63,13.3,7,22,0.088,10,49.9,0.61
,18:46:22,6,10790,66.1,0.65,13.3,7,22,0.09,10,49.9,0.63
,18:46:23,6,10790,67.1,0.66,13.3,7,22,0.091,10,50,0.63
,18:46:24,6,10790,68.1,0.66,13.3,7,22,0.092,10,49.9,0.63
,18:46:25,6,10790,69.1,0.65,13.3,7,22,0.09,10,49.9,0.62
,18:46:26,6,10790,70.1,0.64,13.3,7,22,0.092,10,49.9,0.61
