Data file,,PEEK_ISO10_-8C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,16/03/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:41:15 on 16/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:05:25,4,3600,1449.2,0.01,0,7,-7.7,0.002,10,0.3,0.01
,16:05:26,4,3600,1450.2,0.22,0.4,7,-7.7,0.031,10,0.3,0.23
,16:05:27,4,3600,1451.2,0.6,3.8,7,-7.7,0.087,10,0.3,0.58
,16:05:28,4,3600,1452.2,1.02,10.9,7,-7.7,0.147,10,0.3,0.96
,16:05:29,4,3600,1453.2,1.26,13.3,7,-7.7,0.182,10,0.3,1.14
,16:05:30,4,3600,1454.2,1.32,13.3,7,-7.7,0.191,10,0.3,1.2
,16:05:31,4,3600,1455.2,1.34,13.3,7,-7.7,0.194,10,0.3,1.21
,16:05:32,4,3600,1456.2,1.34,13.3,7,-7.7,0.194,10,0.3,1.21
,16:05:33,4,3600,1457.2,1.34,13.3,7,-7.8,0.193,10,0.3,1.21
,16:05:34,4,3600,1458.2,1.34,13.3,7,-7.8,0.186,10,0.3,1.2
,16:05:35,4,3600,1459.2,1.33,13.3,7,-7.8,0.185,10,0.3,1.2
,16:05:36,4,3600,1460.2,1.31,13.3,7,-7.8,0.19,10,0.3,1.18
,16:05:37,4,3600,1461.2,1.3,13.3,7,-7.8,0.181,10,0.3,1.17
,16:05:38,4,3600,1462.2,1.29,13.3,7,-7.8,0.173,10,0.3,1.16
,16:05:39,4,3600,1463.2,1.29,13.3,7,-7.8,0.173,10,0.3,1.16
,16:05:40,4,3600,1464.2,1.28,13.3,7,-7.8,0.185,10,0.3,1.15
,16:05:41,4,3600,1465.2,1.28,13.3,7,-7.8,0.184,10,0.3,1.15
,16:05:42,4,3600,1466.2,1.27,13.3,7,-7.8,0.183,10,0.3,1.14
,16:05:43,4,3600,1467.2,1.26,13.3,7,-7.9,0.183,10,0.3,1.14
,16:05:44,4,3600,1468.2,1.26,13.3,7,-7.9,0.183,10,0.3,1.14
,16:05:45,4,3600,1469.2,1.26,13.3,7,-7.9,0.182,10,0.3,1.13
,16:05:46,4,3600,1470.2,1.24,13.3,7,-7.9,0.187,10,0.3,1.12
,16:05:47,4,3600,1471.2,1.23,13.3,7,-7.8,0.185,10,0.3,1.11
