Data file,,PPS_ISO10_30DEG_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,04/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PPS on PTFE,,,,,,,,,,
Temp,,30,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 30,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 16:49:09 on 04/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:51:47,4,-1,157.8,0.03,0,7,31.1,0.004,10,49.9,0.03
,16:51:48,4,-1,158.8,0.19,1.3,7,31.1,0.028,10,50,0.2
,16:51:49,4,-1,159.8,0.42,8,7,31.1,0.058,10,50.1,0.43
,16:51:50,4,-1,160.8,0.67,12.5,8,31.1,0.087,10,50.2,0.66
,16:51:51,4,-1,161.8,0.76,13.3,7,31.1,0.102,10,50.2,0.73
,16:51:52,4,-1,162.8,0.79,13.3,7,31.2,0.109,10,50.2,0.76
,16:51:53,4,-1,163.8,0.79,13.3,7,31.2,0.118,10,50.2,0.76
,16:51:54,4,-1,164.8,0.79,13.3,7,31.2,0.119,10,50.2,0.76
,16:51:55,4,-1,165.8,0.8,13.3,7,31.2,0.119,10,50.2,0.77
,16:51:56,4,-1,166.8,0.8,13.3,7,31.2,0.121,10,50.2,0.77
,16:51:57,4,-1,167.8,0.81,13.3,7,31.3,0.121,10,50.2,0.78
,16:51:58,4,-1,168.8,0.81,13.3,7,31.3,0.122,10,50.2,0.78
,16:51:59,4,-1,169.8,0.82,13.3,7,31.3,0.119,10,50.2,0.79
,16:52:00,4,-1,170.8,0.82,13.3,7,31.3,0.119,10,50.2,0.79
,16:52:01,4,-1,171.8,0.83,13.3,7,31.3,0.124,10,50.2,0.8
,16:52:02,4,-1,172.8,0.83,13.3,7,31.4,0.12,10,50.2,0.8
,16:52:03,4,-1,173.8,0.83,13.3,7,31.4,0.12,10,50.2,0.8
,16:52:04,4,-1,174.8,0.83,13.3,7,31.4,0.12,10,50.2,0.8
,16:52:05,4,-1,175.8,0.83,13.3,7,31.4,0.124,10,50.2,0.79
