Data file,,PTFE_DRY_T4_PT2.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,27/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PTFE,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 10:16:08 on 27/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff ( ),Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,ptfe_dry_t4_pt2-h001.tsv,,,,,,,,,,
,10:17:08,4,5,59.8,0.03,0,7,20,0.004,10,49.6,0.02
,10:17:09,4,5,60.8,0.32,0,7,20,0.044,10,49.8,0.36
,10:17:10,4,5,61.8,1.03,4.3,7,20,0.139,10,49.8,1.08
,10:17:11,4,5,62.8,1.92,11.1,7,20,0.258,10,49.9,1.94
,10:17:12,4,5,63.8,2.55,13.1,7,20,0.343,10,49.9,2.5
,10:17:13,5,3590,64.8,2.76,13.3,7,20,0.384,10,49.9,2.67
,10:17:14,5,3590,65.8,2.8,13.3,7,20,0.39,10,49.8,2.71
,10:17:15,5,3590,66.8,2.83,13.3,7,20,0.408,10,49.8,2.73
,10:17:16,5,3590,67.8,2.86,13.3,7,20,0.413,10,49.8,2.76
,10:17:17,5,3590,68.8,2.88,13.3,7,20,0.401,10,49.8,2.78
,10:17:18,5,3590,69.8,2.87,13.3,7,20,0.386,10,49.8,2.77
,10:17:19,5,3590,70.8,2.84,13.3,7,20,0.395,10,49.8,2.74
,10:17:20,5,3590,71.8,2.8,13.3,7,20,0.39,10,49.8,2.7
