Data file,,PTFE_HEF_T26_PT3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,28/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,PTFE,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 16:03:39 on 28/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,ptfe_hef_t26_pt3-h001.tsv,,,,,,,,,,
,16:04:39,4,5,59.7,0.03,0,7,21,0.004,10,49.7,0.05
,16:04:40,4,5,60.7,0.29,1.2,7,21,0.042,10,49.9,0.3
,16:04:41,4,5,61.7,0.47,6.5,7,21,0.067,10,49.9,0.46
,16:04:42,4,5,62.7,0.58,11.9,7,21,0.084,10,49.9,0.56
,16:04:43,4,5,63.7,0.44,13.3,7,21,0.064,10,49.9,0.42
,16:04:44,5,3590,64.7,0.38,13.3,7,21,0.055,10,49.8,0.37
,16:04:45,5,3590,65.7,0.37,13.3,7,21,0.053,10,49.8,0.35
,16:04:46,5,3590,66.7,0.36,13.3,7,21,0.052,10,49.8,0.35
,16:04:47,5,3590,67.7,0.36,13.3,7,21,0.052,10,49.8,0.35
,16:04:48,5,3590,68.7,0.36,13.3,7,21,0.051,10,49.8,0.35
,16:04:49,5,3590,69.7,0.37,13.3,7,21,0.052,10,49.8,0.36
,16:04:50,5,3590,70.7,0.37,13.3,7,21,0.05,10,49.8,0.36
,16:04:51,5,3590,71.7,0.38,13.3,7,21,0.05,10,49.8,0.36
