Data file,,PRELIM_SORONA_DRY_001.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,17/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PTT,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 25,,,,,,,,,,,,
Test started at 16:28:33 on 17/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,prelim_sorona_dry_001-h001.tsv,,,,,,,,,,
,16:29:43,4,5,69.9,0.02,0,25,21,0.001,10,49.7,0.08
,16:29:44,4,5,70.9,2.09,0.5,26,21,0.081,10,49.8,2.33
,16:29:45,4,5,71.9,5.47,5.6,26,21,0.211,10,49.9,5.6
,16:29:46,4,5,72.9,8.86,11.5,26,21,0.342,10,49.9,8.81
,16:29:47,4,5,73.9,10.18,13.2,26,21,0.397,10,49.9,9.85
,16:29:48,5,10790,74.9,10.2,13.3,25,21,0.402,10,49.9,9.85
,16:29:49,5,10790,75.9,10.2,13.3,25,21,0.406,10,49.9,9.85
,16:29:50,5,10790,76.9,10.2,13.3,25,21,0.406,10,49.9,9.85
,16:29:51,5,10790,77.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:29:52,5,10790,78.9,10.2,13.3,25,21,0.406,10,49.9,9.85
,16:29:53,5,10790,79.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:29:54,5,10790,80.9,10.2,13.3,25,21,0.41,10,49.9,9.85
,16:29:55,5,10790,81.9,10.2,13.3,25,21,0.41,10,49.9,9.85
