Data file,,RA0.3_DISTILLEDWATER_12C_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,14/10/2016,,,,,,,,,,
Lubricant,,Distilled Water,,,,,,,,,,
Specimens,,Al Ra0.3 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 9.3,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 10:58:37 on 14/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:09:25,4,-1,648.5,0.02,0,9,10.8,0.002,10,49.7,0.02
,11:09:26,4,-1,649.5,0.24,1.3,9,10.8,0.026,10,49.8,0.27
,11:09:27,4,-1,650.5,0.69,7.2,9,10.7,0.077,10,49.8,0.71
,11:09:28,4,-1,651.5,1.2,12.8,9,10.7,0.127,10,49.9,1.21
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,ra0.3_distilledwater_12c_001-h001.tsv,,,,,,,,,,
,11:09:30,5,5,653.3,1.58,13.3,10,10.7,0.162,10,49.8,1.52
,11:09:31,5,5,654.3,1.6,13.3,10,10.7,0.164,10,49.8,1.54
,11:09:32,5,5,655.3,1.59,13.3,10,10.6,0.164,10,49.9,1.53
,11:09:33,5,5,656.3,1.59,13.3,10,10.6,0.163,10,49.9,1.53
,11:09:34,5,5,657.3,1.59,13.3,10,10.5,0.163,10,49.8,1.53
,11:09:35,6,3590,658.3,1.59,13.3,10,10.5,0.163,10,49.8,1.53
,11:09:36,6,3590,659.3,1.57,13.3,10,10.5,0.161,10,49.9,1.51
,11:09:37,6,3590,660.3,1.55,13.3,10,10.5,0.159,10,49.9,1.48
,11:09:38,6,3590,661.3,1.52,13.3,9,10.5,0.161,10,49.8,1.46
,11:09:39,6,3590,662.3,1.51,13.3,9,10.5,0.163,10,49.8,1.45
,11:09:40,6,3590,663.3,1.51,13.3,9,10.6,0.159,10,49.9,1.45
,11:09:41,6,3590,664.3,1.51,13.3,9,10.6,0.159,10,49.9,1.45
,11:09:42,6,3590,665.3,1.5,13.3,9,10.6,0.163,10,49.8,1.44
