Data file,,RA0.3_DISTILLEDWATER_12C_002_15MLWATER.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,14/10/2016,,,,,,,,,,
Lubricant,,Distilled Water 15ml,,,,,,,,,,
Specimens,,Al Ra0.3 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 9.3,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 12:05:53 on 14/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:06:58,4,-1,64.9,0.04,0,9,11.7,0.004,10,49.8,0.06
,12:06:59,4,-1,65.9,0.33,1.5,9,11.7,0.035,10,49.9,0.36
,12:07:00,4,-1,66.9,0.73,7.8,10,11.7,0.075,10,49.9,0.74
,12:07:01,4,-1,67.9,1.11,12.4,10,11.7,0.114,10,49.9,1.09
,12:07:02,4,-1,68.9,1.2,13.3,10,11.7,0.123,10,49.9,1.15
,12:07:03,4,-1,69.9,1.18,13.3,9,11.6,0.124,10,49.9,1.13
,12:07:04,4,-1,70.9,1.14,13.3,9,11.6,0.124,10,49.9,1.09
,12:07:05,4,-1,71.9,1.11,13.3,9,11.6,0.12,10,49.9,1.06
,12:07:06,4,-1,72.9,1.08,13.3,9,11.6,0.117,10,49.9,1.04
,12:07:07,4,-1,73.9,1.07,13.3,9,11.7,0.116,10,49.9,1.02
,12:07:08,4,-1,74.9,1.06,13.3,9,11.8,0.115,10,49.9,1.01
,12:07:09,4,-1,75.9,1.05,13.3,9,11.8,0.11,10,49.9,1
,12:07:10,4,-1,76.9,1.04,13.3,9,11.9,0.109,10,49.9,1
,12:07:11,4,-1,77.9,1.04,13.3,9,11.9,0.112,10,49.9,1
,12:07:12,4,-1,78.9,1.03,13.3,9,12,0.112,10,49.9,0.99
,12:07:13,4,-1,79.9,1.04,13.3,9,12.1,0.112,10,49.9,1
,12:07:14,4,-1,80.9,1.04,13.3,9,12.2,0.112,10,49.9,1
,12:07:15,4,-1,81.9,1.04,13.3,9,12.3,0.113,10,49.9,1
,12:07:16,4,-1,82.9,1.05,13.3,9,12.4,0.114,10,49.9,1.02
