Data file,,RA0.3_HEF65_-8C_003_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,23/03/2016,,,,,,,,,,
Lubricant,,HEF65,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:01:34 on 06/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:34:52,4,2700,1998.1,0.03,0,9,-7.4,0.004,10,0.3,0.04
,14:34:53,4,2700,1999.1,0.38,0.6,9,-7.4,0.041,10,0.3,0.4
,14:34:54,4,2700,2000.1,0.94,6.4,9,-7.4,0.099,10,0.3,0.93
,14:34:55,4,2700,2001.1,1.54,12.1,10,-7.4,0.154,10,0.3,1.49
,14:34:56,4,2700,2002.1,1.81,13.3,10,-7.4,0.177,10,0.3,1.71
,14:34:57,4,2700,2003.1,1.87,13.3,10,-7.4,0.183,10,0.2,1.75
,14:34:58,4,2700,2004.1,1.86,13.3,10,-7.5,0.181,10,0.2,1.74
,14:34:59,4,2700,2005.1,1.84,13.3,10,-7.5,0.184,10,0.4,1.72
,14:35:00,4,2700,2006.1,1.82,13.3,10,-7.6,0.187,10,0.4,1.7
,14:35:01,4,2700,2007.1,1.8,13.3,10,-7.6,0.185,10,0.3,1.69
,14:35:02,4,2700,2008.1,1.79,13.3,9,-7.6,0.189,10,0.2,1.68
,14:35:03,4,2700,2009.1,1.78,13.3,9,-7.6,0.188,10,0.1,1.67
,14:35:04,4,2700,2010.1,1.77,13.3,9,-7.6,0.191,10,0.1,1.65
,14:35:05,4,2700,2011.1,1.75,13.3,9,-7.6,0.189,10,0.1,1.63
,14:35:06,4,2700,2012.1,1.73,13.3,9,-7.5,0.187,10,0.1,1.62
,14:35:07,4,2700,2013.1,1.72,13.3,9,-7.4,0.187,10,0.1,1.62
,14:35:08,4,2700,2014.1,1.72,13.3,9,-7.4,0.187,10,0.1,1.61
,14:35:09,4,2700,2015.1,1.72,13.3,9,-7.3,0.187,10,0.1,1.61
,14:35:10,4,2700,2016.1,1.72,13.3,9,-7.2,0.186,10,0.1,1.61
,14:35:11,4,2700,2017.1,1.72,13.3,9,-7,0.186,10,0.1,1.61
,14:35:12,4,2700,2018.1,1.72,13.3,9,-6.9,0.191,10,0.1,1.61
,14:35:13,4,2700,2019.1,1.71,13.3,9,-6.9,0.197,10,0.1,1.61
,14:35:14,4,2700,2020.1,1.71,13.3,9,-6.9,0.196,10,0.1,1.6
