Data file,,RA0.3_HEF65_12C_002_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/04/2016,,,,,,,,,,
Lubricant,,HEF65,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:41:21 on 06/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:44:32,4,2700,190.6,0.03,0,9,11.8,0.003,10,1.1,0.04
,11:44:33,4,2700,191.6,0.47,1.2,9,11.8,0.054,10,1.2,0.49
,11:44:34,4,2700,192.6,1.09,6.2,9,11.7,0.118,10,1.2,1.08
,11:44:35,4,2700,193.6,1.75,11.9,10,11.7,0.179,10,1.3,1.68
,11:44:36,4,2700,194.6,1.96,13.3,10,11.7,0.196,10,1.2,1.85
,11:44:37,4,2700,195.6,2,13.3,10,11.7,0.206,10,1.3,1.88
,11:44:38,4,2700,196.6,2,13.3,10,11.7,0.205,10,1.3,1.87
,11:44:39,4,2700,197.6,2,13.3,9,11.6,0.211,10,1.3,1.87
,11:44:40,4,2700,198.6,1.99,13.3,9,11.6,0.21,10,1.3,1.87
,11:44:41,4,2700,199.6,1.99,13.3,9,11.6,0.21,10,1.2,1.86
,11:44:42,4,2700,200.6,1.99,13.3,9,11.5,0.215,10,1.3,1.86
,11:44:43,4,2700,201.6,2,13.3,9,11.5,0.216,10,1.2,1.87
,11:44:44,4,2700,202.6,2,13.3,9,11.5,0.216,10,1.3,1.87
,11:44:45,4,2700,203.6,1.99,13.3,9,11.5,0.215,10,1.3,1.86
,11:44:46,4,2700,204.6,1.97,13.3,9,11.6,0.213,10,1.2,1.84
,11:44:47,4,2700,205.6,1.95,13.3,9,11.6,0.217,10,1.2,1.83
,11:44:48,4,2700,206.6,1.94,13.3,9,11.6,0.216,10,1.3,1.82
,11:44:49,4,2700,207.6,1.94,13.3,9,11.7,0.21,10,1.3,1.81
,11:44:50,4,2700,208.6,1.93,13.3,9,11.7,0.215,10,1.3,1.81
,11:44:51,4,2700,209.6,1.93,13.3,9,11.8,0.215,10,1.3,1.81
,11:44:52,4,2700,210.6,1.93,13.3,9,11.8,0.222,10,1.3,1.81
,11:44:53,4,2700,211.6,1.95,13.3,9,11.8,0.217,10,1.3,1.83
,11:44:54,4,2700,212.6,1.96,13.3,9,11.8,0.213,10,1.3,1.84
,11:44:55,4,2700,213.6,1.98,13.3,9,11.8,0.214,10,1.3,1.85
,11:44:56,4,2700,214.6,1.97,13.3,9,11.8,0.214,10,1.3,1.84
