Data file,,RA0.3_HEF_-8C_002_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,23/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:15:31 on 23/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:28:10,4,2700,759.2,0.03,0,9,-7.4,0.003,10,0.3,0.04
,10:28:11,4,2700,760.2,0.33,0.5,9,-7.4,0.037,10,0.3,0.35
,10:28:12,4,2700,761.2,0.79,5.7,9,-7.4,0.091,10,0.2,0.79
,10:28:13,4,2700,762.2,1.33,12.4,8,-7.4,0.157,10,0.2,1.28
,10:28:14,4,2700,763.2,1.58,13.3,9,-7.4,0.176,10,0.2,1.49
,10:28:15,4,2700,764.2,1.68,13.3,9,-7.4,0.182,10,0.2,1.58
,10:28:16,4,2700,765.2,1.69,13.3,9,-7.4,0.184,10,0.2,1.58
,10:28:17,4,2700,766.2,1.68,13.3,9,-7.5,0.182,10,0.2,1.57
,10:28:18,4,2700,767.2,1.66,13.3,9,-7.5,0.18,10,0.2,1.55
,10:28:19,4,2700,768.2,1.65,13.3,9,-7.5,0.178,10,0.2,1.54
,10:28:20,4,2700,769.2,1.64,13.3,9,-7.5,0.178,10,0.2,1.54
,10:28:21,4,2700,770.2,1.64,13.3,9,-7.5,0.177,10,0.2,1.53
,10:28:22,4,2700,771.2,1.64,13.3,9,-7.6,0.177,10,0.2,1.53
,10:28:23,4,2700,772.2,1.64,13.3,9,-7.5,0.173,10,0.2,1.54
,10:28:24,4,2700,773.2,1.64,13.3,10,-7.5,0.168,10,0.1,1.54
,10:28:25,4,2700,774.2,1.63,13.3,9,-7.5,0.177,10,0.2,1.53
,10:28:26,4,2700,775.2,1.62,13.3,9,-7.4,0.18,10,0.2,1.51
,10:28:27,4,2700,776.2,1.6,13.3,9,-7.3,0.178,10,0.2,1.5
,10:28:28,4,2700,777.2,1.59,13.3,9,-7.1,0.182,10,0.1,1.48
,10:28:29,4,2700,778.2,1.59,13.3,9,-7,0.182,10,0.2,1.49
,10:28:30,4,2700,779.2,1.6,13.3,9,-7,0.178,10,0.2,1.5
,10:28:31,4,2700,780.2,1.61,13.3,9,-7,0.18,10,0.1,1.51
,10:28:32,4,2700,781.2,1.61,13.3,9,-6.9,0.18,10,0.1,1.51
,10:28:33,4,2700,782.2,1.61,13.3,9,-6.9,0.174,10,0.1,1.51
