Data file,,RA0.3_HEF_12C_001_45MINS_NOLIDONBOX.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,"Grit 320, No lid on box",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:26:05 on 22/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:36:14,4,2700,608.8,0.03,0,9,12,0.003,10,0,0.06
,10:36:15,4,2700,609.8,0.73,0.6,9,12,0.081,10,0,0.77
,10:36:16,4,2700,610.8,1.72,6.2,9,11.9,0.192,10,0.1,1.71
,10:36:17,4,2700,611.8,2.74,12.6,9,11.9,0.296,10,0.1,2.63
,10:36:18,4,2700,612.8,3.07,13.3,9,11.9,0.324,10,0.1,2.89
,10:36:19,4,2700,613.8,3.1,13.3,9,11.9,0.327,10,0.1,2.9
,10:36:20,4,2700,614.8,3.07,13.3,9,11.9,0.324,10,0.2,2.88
,10:36:21,4,2700,615.8,3.05,13.3,9,11.8,0.321,10,0.2,2.85
,10:36:22,4,2700,616.8,3.01,13.3,10,11.8,0.309,10,0.2,2.82
,10:36:23,4,2700,617.8,2.98,13.3,9,11.7,0.314,10,0.2,2.78
,10:36:24,4,2700,618.8,2.93,13.3,9,11.7,0.318,10,0.2,2.74
,10:36:25,4,2700,619.8,2.89,13.3,9,11.7,0.313,10,0.2,2.7
,10:36:26,4,2700,620.8,2.85,13.3,9,11.7,0.309,10,0.2,2.67
,10:36:27,4,2700,621.8,2.82,13.3,9,11.8,0.314,10,0.2,2.63
,10:36:28,4,2700,622.8,2.79,13.3,9,11.8,0.311,10,0.2,2.61
,10:36:29,4,2700,623.8,2.76,13.3,9,11.8,0.308,10,0.2,2.58
,10:36:30,4,2700,624.8,2.74,13.3,9,11.8,0.305,10,0.2,2.56
,10:36:31,4,2700,625.8,2.72,13.3,9,11.9,0.294,10,0.2,2.54
,10:36:32,4,2700,626.8,2.7,13.3,9,11.9,0.301,10,0.2,2.53
,10:36:33,4,2700,627.8,2.69,13.3,9,11.9,0.3,10,0.2,2.52
,10:36:34,4,2700,628.8,2.68,13.3,9,11.9,0.308,10,0.2,2.51
,10:36:35,4,2700,629.8,2.67,13.3,9,11.9,0.298,10,0.2,2.5
,10:36:36,4,2700,630.8,2.65,13.3,9,11.9,0.295,10,0.2,2.48
,10:36:37,4,2700,631.8,2.64,13.3,9,11.9,0.294,10,0.2,2.46
