Data file,,RA0.3_HEF_12C_003_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/03/2016,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 13:44:02 on 22/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:50:08,4,2700,365.1,0.02,0,9,11.9,0.002,10,0.3,0.01
,13:50:09,4,2700,366.1,0.2,0,9,11.9,0.022,10,0.3,0.22
,13:50:10,4,2700,367.1,0.7,4.1,9,11.9,0.08,10,0.3,0.71
,13:50:11,4,2700,368.1,1.29,11.3,9,11.9,0.148,10,0.3,1.26
,13:50:12,4,2700,369.1,1.7,13.2,9,11.8,0.195,10,0.3,1.61
,13:50:13,4,2700,370.1,1.78,13.3,9,11.8,0.199,10,0.3,1.67
,13:50:14,4,2700,371.1,1.77,13.3,9,11.8,0.192,10,0.3,1.65
,13:50:15,4,2700,372.1,1.74,13.3,9,11.7,0.183,10,0.3,1.63
,13:50:16,4,2700,373.1,1.71,13.3,9,11.7,0.186,10,0.3,1.61
,13:50:17,4,2700,374.1,1.7,13.3,9,11.7,0.184,10,0.3,1.59
,13:50:18,4,2700,375.1,1.69,13.3,9,11.6,0.183,10,0.3,1.58
,13:50:19,4,2700,376.1,1.68,13.3,9,11.7,0.177,10,0.3,1.57
,13:50:20,4,2700,377.1,1.66,13.3,9,11.7,0.175,10,0.3,1.56
,13:50:21,4,2700,378.1,1.65,13.3,9,11.7,0.174,10,0.3,1.55
,13:50:22,4,2700,379.1,1.64,13.3,9,11.7,0.178,10,0.3,1.54
,13:50:23,4,2700,380.1,1.63,13.3,9,11.7,0.177,10,0.3,1.53
,13:50:24,4,2700,381.1,1.62,13.3,9,11.7,0.181,10,0.3,1.52
,13:50:25,4,2700,382.1,1.62,13.3,9,11.8,0.18,10,0.3,1.52
,13:50:26,4,2700,383.1,1.62,13.3,9,11.8,0.18,10,0.3,1.52
,13:50:27,4,2700,384.1,1.62,13.3,9,11.8,0.181,10,0.3,1.52
,13:50:28,4,2700,385.1,1.63,13.3,9,11.8,0.181,10,0.3,1.53
,13:50:29,4,2700,386.1,1.64,13.3,9,11.8,0.182,10,0.3,1.53
,13:50:30,4,2700,387.1,1.65,13.3,9,11.8,0.184,10,0.3,1.54
,13:50:31,4,2700,388.1,1.66,13.3,9,11.8,0.179,10,0.3,1.55
,13:50:32,4,2700,389.1,1.66,13.3,9,11.7,0.175,10,0.3,1.55
