Data file,,RA0.3_OILHEF10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,13/05/2016,,,,,,,,,,
Lubricant,,10% HEF-contaminated ISO10,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:17:25 on 13/05/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:18:12,4,2700,46.5,0.02,0,9,11.1,0.002,10,49.8,0.04
,14:18:13,4,2700,47.5,0.47,0.1,9,11.1,0.051,10,50,0.5
,14:18:14,4,2700,48.5,1.07,5.2,9,11.1,0.12,10,50,1.08
,14:18:15,4,2700,49.5,1.67,11.9,9,11.1,0.181,10,50,1.63
,14:18:16,4,2700,50.5,1.78,13.2,9,11.1,0.193,10,50,1.7
,14:18:17,4,2700,51.5,1.75,13.3,9,11.1,0.195,10,50,1.67
,14:18:18,4,2700,52.5,1.73,13.3,9,11.1,0.193,10,50,1.66
,14:18:19,4,2700,53.5,1.74,13.3,9,11.1,0.189,10,50,1.67
,14:18:20,4,2700,54.5,1.74,13.3,9,11.1,0.194,10,50,1.66
,14:18:21,4,2700,55.5,1.73,13.3,9,11.1,0.193,10,50,1.65
,14:18:22,4,2700,56.5,1.72,13.3,9,11.1,0.187,10,50,1.65
,14:18:23,4,2700,57.5,1.72,13.3,9,11.2,0.181,10,50,1.64
,14:18:24,4,2700,58.5,1.71,13.3,9,11.2,0.18,10,50,1.63
,14:18:25,4,2700,59.5,1.69,13.3,9,11.2,0.183,10,50,1.62
,14:18:26,4,2700,60.5,1.68,13.3,9,11.2,0.187,10,50,1.6
,14:18:27,4,2700,61.5,1.66,13.3,9,11.2,0.185,10,50,1.58
,14:18:28,4,2700,62.5,1.66,13.3,9,11.2,0.184,10,50,1.58
,14:18:29,4,2700,63.5,1.65,13.3,9,11.2,0.184,10,50,1.58
,14:18:30,4,2700,64.5,1.65,13.3,9,11.3,0.179,10,50,1.58
,14:18:31,4,2700,65.5,1.65,13.3,9,11.3,0.174,10,50,1.57
,14:18:32,4,2700,66.5,1.64,13.3,9,11.3,0.173,10,50,1.57
,14:18:33,4,2700,67.5,1.64,13.3,9,11.3,0.178,10,50,1.57
,14:18:34,4,2700,68.5,1.64,13.3,9,11.4,0.183,10,50,1.57
,14:18:35,4,2700,69.5,1.64,13.3,9,11.4,0.183,10,50,1.56
,14:18:36,4,2700,70.5,1.63,13.3,9,11.4,0.182,10,50,1.56
