Data file,,RA0.3_PAO_-8C_003_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,15/03/2016,,,,,,,,,,
Lubricant,,PAO,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:20:59 on 15/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:57:44,4,3600,2205.1,0.06,0,9,-7.3,0.007,10,0.2,0.1
,16:57:45,4,3600,2206.1,0.6,1,9,-7.3,0.067,10,0.3,0.6
,16:57:46,4,3600,2207.1,1.35,6.8,9,-7.3,0.15,10,0.2,1.29
,16:57:47,4,3600,2208.1,2.13,12.1,9,-7.3,0.231,10,0.2,1.96
,16:57:48,4,3600,2209.1,2.42,13.3,9,-7.3,0.262,10,0.2,2.2
,16:57:49,4,3600,2210.1,2.48,13.3,9,-7.3,0.261,10,0.2,2.24
,16:57:50,4,3600,2211.1,2.44,13.3,9,-7.3,0.258,10,0.2,2.2
,16:57:51,4,3600,2212.1,2.41,13.3,9,-7.3,0.254,10,0.2,2.17
,16:57:52,4,3600,2213.1,2.38,13.3,9,-7.3,0.258,10,0.2,2.14
,16:57:53,4,3600,2214.1,2.35,13.3,9,-7.3,0.254,10,0.2,2.11
,16:57:54,4,3600,2215.1,2.33,13.3,9,-7.4,0.259,10,0.2,2.1
,16:57:55,4,3600,2216.1,2.31,13.3,9,-7.4,0.257,10,0.2,2.08
,16:57:56,4,3600,2217.1,2.29,13.3,9,-7.4,0.255,10,0.2,2.07
,16:57:57,4,3600,2218.1,2.28,13.3,9,-7.4,0.254,10,0.2,2.06
,16:57:58,4,3600,2219.1,2.27,13.3,9,-7.4,0.253,10,0.2,2.05
,16:57:59,4,3600,2220.1,2.26,13.3,9,-7.4,0.252,10,0.2,2.04
,16:58:00,4,3600,2221.1,2.25,13.3,9,-7.4,0.251,10,0.2,2.03
,16:58:01,4,3600,2222.1,2.24,13.3,9,-7.4,0.25,10,0.2,2.02
,16:58:02,4,3600,2223.1,2.24,13.3,9,-7.4,0.25,10,0.2,2.02
,16:58:03,4,3600,2224.1,2.24,13.3,9,-7.4,0.257,10,0.2,2.02
,16:58:04,4,3600,2225.1,2.24,13.3,9,-7.4,0.249,10,0.2,2.02
,16:58:05,4,3600,2226.1,2.24,13.3,9,-7.4,0.249,10,0.2,2.02
,16:58:06,4,3600,2227.1,2.23,13.3,9,-7.4,0.249,10,0.2,2.01
,16:58:07,4,3600,2228.1,2.23,13.3,9,-7.3,0.249,10,0.2,2.01
