Data file,,RA0.3_PAO_12C_001_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,16/03/2016,,,,,,,,,,
Lubricant,,PAO68,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:45:13 on 16/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,10:53:47,4,3600,513.9,0.02,0,9,11,0.002,10,0.3,0.02
,10:53:48,4,3600,514.9,0.2,0.8,9,11,0.021,10,0.3,0.2
,10:53:49,4,3600,515.9,0.53,5.2,9,11,0.057,10,0.3,0.51
,10:53:50,4,3600,516.9,0.93,11,9,11,0.101,10,0.3,0.87
,10:53:51,4,3600,517.9,1.16,13.3,9,11,0.123,10,0.3,1.06
,10:53:52,4,3600,518.9,1.24,13.3,9,10.9,0.131,10,0.3,1.12
,10:53:53,4,3600,519.9,1.24,13.3,9,10.9,0.134,10,0.3,1.12
,10:53:54,4,3600,520.9,1.22,13.3,9,10.9,0.132,10,0.3,1.1
,10:53:55,4,3600,521.9,1.21,13.3,9,10.9,0.131,10,0.3,1.09
,10:53:56,4,3600,522.9,1.2,13.3,9,10.9,0.126,10,0.3,1.08
,10:53:57,4,3600,523.9,1.19,13.3,10,10.9,0.122,10,0.3,1.07
,10:53:58,4,3600,524.9,1.19,13.3,9,10.9,0.125,10,0.3,1.07
,10:53:59,4,3600,525.9,1.18,13.3,9,10.8,0.128,10,0.3,1.06
,10:54:00,4,3600,526.9,1.18,13.3,9,10.8,0.128,10,0.3,1.06
,10:54:01,4,3600,527.9,1.17,13.3,9,10.8,0.127,10,0.3,1.06
,10:54:02,4,3600,528.9,1.17,13.3,9,10.8,0.126,10,0.3,1.05
,10:54:03,4,3600,529.9,1.16,13.3,9,10.7,0.13,10,0.3,1.05
,10:54:04,4,3600,530.9,1.16,13.3,9,10.7,0.13,10,0.3,1.05
,10:54:05,4,3600,531.9,1.16,13.3,9,10.7,0.133,10,0.3,1.05
,10:54:06,4,3600,532.9,1.16,13.3,9,10.7,0.129,10,0.3,1.04
,10:54:07,4,3600,533.9,1.15,13.3,9,10.7,0.129,10,0.3,1.04
,10:54:08,4,3600,534.9,1.15,13.3,9,10.7,0.125,10,0.3,1.04
,10:54:09,4,3600,535.9,1.15,13.3,9,10.7,0.128,10,0.3,1.04
,10:54:10,4,3600,536.9,1.16,13.3,9,10.7,0.129,10,0.3,1.04
,10:54:11,4,3600,537.9,1.16,13.3,9,10.7,0.125,10,0.3,1.04
