Data file,,RA0.3_PAO_12C_002_45MINS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,16/03/2016,,,,,,,,,,
Lubricant,,PAO68,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,"Grit 320, first test at 45mins",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:23:14 on 16/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:26:42,4,2700,207.8,0.02,0,9,10.4,0.002,10,0.3,0.01
,12:26:43,4,2700,208.8,0.14,0.3,9,10.4,0.014,10,0.3,0.14
,12:26:44,4,2700,209.8,0.48,4.4,9,10.4,0.051,10,0.3,0.48
,12:26:45,4,2700,210.8,0.96,10.6,9,10.4,0.104,10,0.3,0.91
,12:26:46,4,2700,211.8,1.36,13.2,9,10.4,0.148,10,0.3,1.25
,12:26:47,4,2700,212.8,1.54,13.3,9,10.4,0.167,10,0.3,1.4
,12:26:48,4,2700,213.8,1.6,13.3,9,10.3,0.174,10,0.3,1.45
,12:26:49,4,2700,214.8,1.63,13.3,9,10.3,0.172,10,0.3,1.47
,12:26:50,4,2700,215.8,1.65,13.3,9,10.3,0.174,10,0.3,1.49
,12:26:51,4,2700,216.8,1.66,13.3,9,10.3,0.18,10,0.3,1.5
,12:26:52,4,2700,217.8,1.67,13.3,9,10.2,0.18,10,0.3,1.5
,12:26:53,4,2700,218.8,1.67,13.3,9,10.2,0.18,10,0.3,1.5
,12:26:54,4,2700,219.8,1.67,13.3,9,10.2,0.181,10,0.3,1.51
,12:26:55,4,2700,220.8,1.67,13.3,9,10.2,0.181,10,0.3,1.51
,12:26:56,4,2700,221.8,1.67,13.3,9,10.1,0.181,10,0.3,1.5
,12:26:57,4,2700,222.8,1.66,13.3,9,10.1,0.185,10,0.3,1.49
,12:26:58,4,2700,223.8,1.65,13.3,9,10.1,0.184,10,0.3,1.49
,12:26:59,4,2700,224.8,1.65,13.3,9,10,0.184,10,0.3,1.49
,12:27:00,4,2700,225.8,1.66,13.3,9,10,0.185,10,0.3,1.49
,12:27:01,4,2700,226.8,1.66,13.3,9,10,0.185,10,0.3,1.5
,12:27:02,4,2700,227.8,1.66,13.3,9,10,0.185,10,0.3,1.49
,12:27:03,4,2700,228.8,1.66,13.3,9,10,0.175,10,0.3,1.49
,12:27:04,4,2700,229.8,1.65,13.3,10,9.9,0.17,10,0.3,1.49
,12:27:05,4,2700,230.8,1.64,13.3,10,9.9,0.168,10,0.3,1.48
,12:27:06,4,2700,231.8,1.63,13.3,9,9.9,0.171,10,0.3,1.46
