Data file,,RA0.3_PDMS_-8C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_-8DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,07/04/2016,,,,,,,,,,
Lubricant,,Polydimethyl Silocone,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:55:38 on 07/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:19:21,4,2700,1422.6,0.02,0,9,-7.4,0.002,10,0.1,0.02
,11:19:22,4,2700,1423.6,0.2,0.4,9,-7.4,0.022,10,0.1,0.22
,11:19:23,4,2700,1424.6,0.57,6.5,9,-7.4,0.063,10,0.1,0.57
,11:19:24,4,2700,1425.6,1,12.5,9,-7.4,0.106,10,0.1,0.98
,11:19:25,4,2700,1426.6,1.26,13.3,9,-7.4,0.132,10,0.1,1.19
,11:19:26,4,2700,1427.6,1.32,13.3,10,-7.4,0.136,10,0.1,1.24
,11:19:27,4,2700,1428.6,1.32,13.3,10,-7.4,0.136,10,0.1,1.24
,11:19:28,4,2700,1429.6,1.31,13.3,10,-7.4,0.134,10,0.1,1.22
,11:19:29,4,2700,1430.6,1.3,13.3,9,-7.4,0.141,10,0.1,1.21
,11:19:30,4,2700,1431.6,1.29,13.3,9,-7.4,0.139,10,0.1,1.2
,11:19:31,4,2700,1432.6,1.28,13.3,9,-7.4,0.139,10,0.1,1.2
,11:19:32,4,2700,1433.6,1.28,13.3,9,-7.4,0.138,10,0.1,1.2
,11:19:33,4,2700,1434.6,1.28,13.3,9,-7.4,0.135,10,0.1,1.2
,11:19:34,4,2700,1435.6,1.27,13.3,9,-7.4,0.134,10,0.1,1.19
,11:19:35,4,2700,1436.6,1.27,13.3,9,-7.4,0.134,10,0.1,1.19
,11:19:36,4,2700,1437.6,1.27,13.3,9,-7.5,0.137,10,0.1,1.19
,11:19:37,4,2700,1438.6,1.26,13.3,9,-7.5,0.14,10,0.1,1.18
,11:19:38,4,2700,1439.6,1.26,13.3,9,-7.4,0.144,10,0.1,1.18
,11:19:39,4,2700,1440.6,1.25,13.3,9,-7.4,0.14,10,0.1,1.17
,11:19:40,4,2700,1441.6,1.26,13.3,9,-7.4,0.136,10,0.1,1.18
,11:19:41,4,2700,1442.6,1.25,13.3,9,-7.4,0.136,10,0.1,1.17
,11:19:42,4,2700,1443.6,1.25,13.3,9,-7.4,0.139,10,0.1,1.17
,11:19:43,4,2700,1444.6,1.25,13.3,9,-7.4,0.143,10,0.1,1.17
