Data file,,RA0.3_PDMS_12C_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG_45MINS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/04/2016,,,,,,,,,,
Lubricant,,Polydimethyl Silicone,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:13:32 on 07/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:15:53,4,2700,140.5,0.03,0,9,12,0.003,10,0,0.03
,16:15:54,4,2700,141.5,0.22,0.5,9,12,0.023,10,0,0.23
,16:15:55,4,2700,142.5,0.47,4.4,10,12,0.049,10,0,0.5
,16:15:56,4,2700,143.5,0.82,10.8,10,11.9,0.082,10,0,0.79
,16:15:57,4,2700,144.5,0.95,13.3,10,11.9,0.095,10,0,0.89
,16:15:58,4,2700,145.5,0.98,13.3,10,11.9,0.098,10,0,0.92
,16:15:59,4,2700,146.5,0.98,13.3,10,11.9,0.101,10,0,0.92
,16:16:00,4,2700,147.5,0.98,13.3,9,11.9,0.103,10,0.1,0.91
,16:16:01,4,2700,148.5,0.97,13.3,9,11.8,0.105,10,0,0.91
,16:16:02,4,2700,149.5,0.96,13.3,9,11.8,0.107,10,0.1,0.9
,16:16:03,4,2700,150.5,0.96,13.3,9,11.8,0.107,10,0,0.9
,16:16:04,4,2700,151.5,0.96,13.3,9,11.8,0.107,10,0,0.9
,16:16:05,4,2700,152.5,0.96,13.3,9,11.8,0.11,10,0,0.9
,16:16:06,4,2700,153.5,0.96,13.3,9,11.8,0.107,10,0.1,0.9
,16:16:07,4,2700,154.5,0.96,13.3,9,11.7,0.107,10,0,0.9
,16:16:08,4,2700,155.5,0.96,13.3,9,11.7,0.104,10,0,0.9
,16:16:09,4,2700,156.5,0.96,13.3,9,11.7,0.107,10,0,0.9
,16:16:10,4,2700,157.5,0.97,13.3,9,11.7,0.108,10,0,0.91
,16:16:11,4,2700,158.5,0.97,13.3,9,11.7,0.108,10,0,0.91
,16:16:12,4,2700,159.5,0.97,13.3,9,11.6,0.108,10,0,0.91
,16:16:13,4,2700,160.5,0.96,13.3,9,11.6,0.107,10,0,0.9
,16:16:14,4,2700,161.5,0.96,13.3,9,11.6,0.107,10,0,0.9
,16:16:15,4,2700,162.5,0.96,13.3,9,11.6,0.107,10,0,0.9
,16:16:16,4,2700,163.5,0.96,13.3,9,11.6,0.107,10,0,0.9
,16:16:17,4,2700,164.5,0.96,13.3,9,11.5,0.107,10,0,0.9
,16:16:18,4,2700,165.5,0.96,13.3,9,11.5,0.107,10,0,0.9
