Data file,,SILICONE10CST_12_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,15/06/2016,,,,,,,,,,
Lubricant,,Silicone 10cSt,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 15:57:33 on 15/06/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,silicone10cst_12_001-h001.tsv,,,,,,,,,,
,16:00:10,4,3600,156,0.02,0,9,11.8,0.002,10,0,0.02
,16:00:11,4,3600,157,0.47,0,10,11.8,0.048,10,0,0.51
,16:00:12,4,3600,158,1.19,4.5,10,11.8,0.122,10,0,1.2
,16:00:13,4,3600,159,1.91,11.6,9,11.8,0.201,10,0.1,1.89
,16:00:14,4,3600,160,2.17,13.2,9,11.8,0.229,10,0.1,2.07
,16:00:15,4,3600,161,2.15,13.3,9,11.8,0.227,10,0.1,2.05
,16:00:16,4,3600,162,2.13,13.3,9,11.7,0.224,10,0.1,2.03
,16:00:17,4,3600,163,2.12,13.3,9,11.7,0.224,10,0.1,2.03
,16:00:18,4,3600,164,2.13,13.3,9,11.7,0.224,10,0.1,2.03
,16:00:19,4,3600,165,2.14,13.3,10,11.7,0.219,10,0.1,2.04
,16:00:20,4,3600,166,2.15,13.3,10,11.7,0.221,10,0.1,2.05
,16:00:21,4,3600,167,2.16,13.3,9,11.7,0.228,10,0.1,2.07
,16:00:22,4,3600,168,2.17,13.3,9,11.7,0.229,10,0.1,2.08
,16:00:23,4,3600,169,2.18,13.3,9,11.7,0.236,10,0.1,2.09
,16:00:24,4,3600,170,2.18,13.3,9,11.7,0.237,10,0.1,2.09
,16:00:25,4,3600,171,2.18,13.3,9,11.7,0.243,10,0.1,2.08
,16:00:26,4,3600,172,2.18,13.3,9,11.7,0.243,10,0.1,2.08
,16:00:27,4,3600,173,2.17,13.3,9,11.8,0.249,10,0.1,2.08
,16:00:28,4,3600,174,2.18,13.3,9,11.8,0.25,10,0.1,2.08
,16:00:29,4,3600,175,2.18,13.3,9,11.8,0.25,10,0.1,2.08
,16:00:30,4,3600,176,2.19,13.3,9,11.8,0.244,10,0.1,2.09
,16:00:31,4,3600,177,2.19,13.3,9,11.9,0.237,10,0.1,2.09
,16:00:32,4,3600,178,2.19,13.3,9,11.9,0.237,10,0.1,2.09
,16:00:33,4,3600,179,2.19,13.3,9,12,0.237,10,0.1,2.09
