Data file,,PTT_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PTT on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 12:46:50 on 05/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,13:00:51,4,-1,840.1,0.03,0,7,11,0.004,10,49.9,0.04
,13:00:52,4,-1,841.1,0.23,0.4,7,11,0.035,10,50,0.26
,13:00:53,4,-1,842.1,0.62,6.8,7,11,0.092,10,50,0.63
,13:00:54,4,-1,843.1,1.03,13,7,10.9,0.149,10,50,1.02
,13:00:55,4,-1,844.1,1.25,13.3,7,10.9,0.18,10,50,1.21
,13:00:56,4,-1,845.1,1.29,13.3,7,10.9,0.187,10,50,1.25
,13:00:57,4,-1,846.1,1.3,13.3,7,10.9,0.181,10,50,1.25
,13:00:58,4,-1,847.1,1.3,13.3,7,10.9,0.175,10,50,1.25
,13:00:59,4,-1,848.1,1.29,13.3,7,10.9,0.179,10,50,1.24
,13:01:00,4,-1,849.1,1.27,13.3,7,10.9,0.184,10,50,1.22
,13:01:01,4,-1,850.1,1.25,13.3,7,10.8,0.188,10,50,1.2
,13:01:02,4,-1,851.1,1.26,13.3,7,10.8,0.189,10,50,1.21
,13:01:03,4,-1,852.1,1.28,13.3,7,10.8,0.184,10,50,1.23
,13:01:04,4,-1,853.1,1.28,13.3,7,10.8,0.179,10,50,1.23
,13:01:05,4,-1,854.1,1.28,13.3,7,10.8,0.178,10,50,1.22
,13:01:06,4,-1,855.1,1.26,13.3,7,10.7,0.176,10,50,1.21
,13:01:07,4,-1,856.1,1.26,13.3,7,10.7,0.181,10,50,1.21
,13:01:08,4,-1,857.1,1.25,13.3,7,10.7,0.188,10,50,1.2
,13:01:09,4,-1,858.1,1.25,13.3,7,10.7,0.187,10,50,1.2
,13:01:10,4,-1,859.1,1.25,13.3,7,10.7,0.187,10,50,1.2
