Data file,,PTT_ISO10_12DEG_003.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PTT on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 16:09:38 on 05/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:16:55,4,-1,437.3,0.08,0,7,11.1,0.011,10,49.7,0.09
,16:16:56,4,-1,438.3,0.33,3,7,11.1,0.046,10,49.9,0.35
,16:16:57,4,-1,439.3,0.69,9.4,7,11.1,0.092,10,49.9,0.69
,16:16:58,4,-1,440.3,0.98,12.9,7,11.1,0.131,10,49.9,0.96
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,ptt_iso10_12deg_003-h001.tsv,,,,,,,,,,
,16:17:00,5,5,441.7,1.05,13.3,7,11.1,0.147,10,49.9,1.01
,16:17:01,5,5,442.7,1.03,13.3,7,11.1,0.143,10,50,0.99
,16:17:02,5,5,443.7,1.01,13.3,7,11,0.14,10,49.9,0.97
,16:17:03,5,5,444.7,1,13.3,7,11,0.144,10,49.9,0.96
,16:17:04,5,5,445.7,0.99,13.3,7,11,0.143,10,49.9,0.95
,16:17:05,6,3590,446.7,0.98,13.3,7,11,0.136,10,49.9,0.94
,16:17:06,6,3590,447.7,0.96,13.3,7,11,0.134,10,49.9,0.92
,16:17:07,6,3590,448.7,0.94,13.3,7,10.9,0.136,10,49.9,0.9
,16:17:08,6,3590,449.7,0.92,13.3,7,10.9,0.138,10,49.9,0.89
,16:17:09,6,3590,450.7,0.92,13.3,7,10.9,0.137,10,49.9,0.88
,16:17:10,6,3590,451.7,0.92,13.3,7,10.9,0.133,10,50,0.89
,16:17:11,6,3590,452.7,0.92,13.3,7,10.9,0.133,10,50,0.88
,16:17:12,6,3590,453.7,0.9,13.3,7,10.9,0.131,10,49.9,0.87
,16:17:13,6,3590,454.7,0.89,13.3,7,10.9,0.134,10,49.9,0.86
