Data file,,SORONA-UNHONED_ISO10_12DEG_003_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PTT on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:29:49 on 24/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:30:44,4,-1,55.1,0.08,0,7,14,0.012,10,0.4,0.11
,09:30:45,4,-1,56.1,0.52,2.5,7,13.9,0.074,10,0.4,0.55
,09:30:46,4,-1,57.1,1.04,8.7,7,13.9,0.15,10,0.4,1.06
,09:30:47,4,-1,58.1,1.47,12.8,7,13.9,0.213,10,0.5,1.45
,09:30:48,4,-1,59.1,1.53,13.3,7,13.9,0.221,10,0.4,1.49
,09:30:49,4,-1,60.1,1.49,13.3,7,13.9,0.223,10,0.4,1.44
,09:30:50,4,-1,61.1,1.45,13.3,7,13.9,0.218,10,0.4,1.41
,09:30:51,4,-1,62.1,1.43,13.3,7,13.9,0.214,10,0.4,1.39
,09:30:53,4,-1,63.1,1.41,13.3,7,13.9,0.211,10,0.5,1.37
,09:30:54,4,-1,64.1,1.4,13.3,7,13.8,0.203,10,0.5,1.37
,09:30:55,4,-1,65.1,1.4,13.3,7,13.8,0.195,10,0.4,1.36
,09:30:56,4,-1,66.1,1.39,13.3,7,13.8,0.193,10,0.4,1.35
,09:30:57,4,-1,67.1,1.36,13.3,7,13.8,0.197,10,0.4,1.33
Fast data in,,sorona-unhoned_iso10_12deg_003_12hrs-h001.tsv,,,,,,,,,,
,09:30:58,5,5,68.5,1.33,13.3,7,13.8,0.192,10,0.5,1.3
,09:30:59,5,5,69.5,1.32,13.3,7,13.7,0.198,10,0.5,1.29
,09:31:00,5,5,70.5,1.31,13.3,7,13.7,0.19,10,0.4,1.28
,09:31:01,5,5,71.5,1.31,13.3,7,13.7,0.182,10,0.5,1.27
