Data file,,SORONA_DRY_T23_S3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,28/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,Sorona,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 13:02:45 on 28/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,sorona_dry_t23_s3-h001.tsv,,,,,,,,,,
,13:03:56,4,5,71.2,0.02,0,7,22,0.002,10,49.7,0.03
,13:03:57,4,5,72.2,0.52,0.8,7,22,0.07,10,49.8,0.58
,13:03:58,4,5,73.2,1.55,5.4,7,22,0.209,10,49.8,1.61
,13:03:59,4,5,74.2,2.73,11.3,8,22,0.354,10,49.8,2.74
,13:04:00,4,5,75.2,3.43,13.3,8,22,0.446,10,49.8,3.34
,13:04:01,5,3590,76.2,3.61,13.3,8,22,0.47,10,49.8,3.5
,13:04:02,5,3590,77.2,3.64,13.3,8,22,0.473,10,49.8,3.52
,13:04:03,5,3590,78.2,3.63,13.3,7,22,0.489,10,49.8,3.51
,13:04:04,5,3590,79.2,3.61,13.3,7,22,0.486,10,49.8,3.49
,13:04:05,5,3590,80.2,3.62,13.3,8,22,0.47,10,49.8,3.49
,13:04:06,5,3590,81.2,3.61,13.3,8,22,0.47,10,49.8,3.49
,13:04:07,5,3590,82.2,3.6,13.3,7,22,0.484,10,49.8,3.47
,13:04:08,5,3590,83.2,3.58,13.3,7,22,0.499,10,49.8,3.45
