Data file,,SORONA_ISO10_-8C_007.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,08/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 10:41:17 on 08/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:04:52,4,3600,1414.3,0.03,0,7,-7.8,0.004,10,0,0.04
,11:04:53,4,3600,1415.3,0.29,0.3,7,-7.8,0.039,10,0,0.31
,11:04:54,4,3600,1416.3,0.68,5.4,8,-7.8,0.088,10,0.1,0.67
,11:04:55,4,3600,1417.3,1.07,11.7,8,-7.8,0.139,10,0.1,1.03
,11:04:56,4,3600,1418.3,1.2,13.2,8,-7.8,0.156,10,0.1,1.13
,11:04:57,4,3600,1419.3,1.19,13.3,7,-7.8,0.161,10,0.1,1.12
,11:04:58,4,3600,1420.3,1.17,13.3,7,-7.8,0.157,10,0.1,1.09
,11:04:59,4,3600,1421.3,1.15,13.3,7,-7.8,0.155,10,0.1,1.08
,11:05:00,4,3600,1422.3,1.13,13.3,7,-7.8,0.158,10,0.1,1.06
,11:05:01,4,3600,1423.3,1.12,13.3,7,-7.9,0.156,10,0.1,1.05
,11:05:02,4,3600,1424.3,1.11,13.3,7,-7.9,0.155,10,0.1,1.04
,11:05:03,4,3600,1425.3,1.11,13.3,7,-7.9,0.154,10,0.1,1.04
,11:05:04,4,3600,1426.3,1.1,13.3,7,-7.9,0.159,10,0.1,1.03
,11:05:05,4,3600,1427.3,1.09,13.3,7,-7.9,0.158,10,0.1,1.02
,11:05:06,4,3600,1428.3,1.09,13.3,7,-7.9,0.157,10,0.1,1.02
,11:05:07,4,3600,1429.3,1.08,13.3,7,-7.9,0.156,10,0.1,1.01
,11:05:08,4,3600,1430.3,1.07,13.3,7,-7.9,0.149,10,0.1,1
,11:05:09,4,3600,1431.3,1.07,13.3,7,-7.9,0.149,10,0.1,1
,11:05:10,4,3600,1432.3,1.07,13.3,7,-7.9,0.155,10,0.1,1.01
,11:05:11,4,3600,1433.3,1.08,13.3,7,-7.9,0.162,10,0.1,1.01
,11:05:12,4,3600,1434.3,1.08,13.3,7,-7.9,0.162,10,0.1,1.01
,11:05:13,4,3600,1435.3,1.08,13.3,7,-7.9,0.162,10,0.1,1.01
,11:05:14,4,3600,1436.3,1.08,13.3,7,-7.9,0.162,10,0.1,1.01
,11:05:15,4,3600,1437.3,1.08,13.3,7,-7.9,0.162,10,0.1,1.02
