Data file,,SORONA_ISO10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:33:55 on 03/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:37:36,4,3600,220.5,0.01,0,7,11.4,0.002,10,0.2,0.01
,11:37:37,4,3600,221.5,0.09,0.1,7,11.4,0.012,10,0.2,0.09
,11:37:38,4,3600,222.5,0.22,4.4,7,11.4,0.033,10,0.2,0.22
,11:37:39,4,3600,223.5,0.37,11.1,7,11.4,0.056,10,0.1,0.36
,11:37:40,4,3600,224.5,0.46,13.1,7,11.4,0.066,10,0.1,0.43
,11:37:41,4,3600,225.5,0.48,13.3,7,11.4,0.069,10,0.1,0.45
,11:37:42,4,3600,226.5,0.47,13.3,7,11.3,0.068,10,0.1,0.44
,11:37:43,4,3600,227.5,0.47,13.3,7,11.3,0.065,10,0.1,0.44
,11:37:44,4,3600,228.5,0.46,13.3,7,11.3,0.064,10,0.1,0.43
,11:37:45,4,3600,229.5,0.46,13.3,7,11.3,0.061,10,0.1,0.43
,11:37:46,4,3600,230.5,0.45,13.3,7,11.3,0.061,10,0.2,0.42
,11:37:47,4,3600,231.5,0.45,13.3,7,11.3,0.066,10,0.2,0.42
,11:37:48,4,3600,232.5,0.45,13.3,7,11.3,0.066,10,0.2,0.42
,11:37:49,4,3600,233.5,0.45,13.3,7,11.3,0.066,10,0.1,0.42
,11:37:50,4,3600,234.5,0.46,13.3,7,11.3,0.066,10,0.1,0.43
,11:37:51,4,3600,235.5,0.46,13.3,7,11.2,0.069,10,0.1,0.43
,11:37:52,4,3600,236.5,0.46,13.3,7,11.2,0.069,10,0.1,0.43
,11:37:53,4,3600,237.5,0.46,13.3,7,11.2,0.067,10,0.1,0.43
,11:37:54,4,3600,238.5,0.47,13.3,7,11.2,0.065,10,0.1,0.44
,11:37:55,4,3600,239.5,0.47,13.3,7,11.2,0.065,10,0.1,0.44
,11:37:56,4,3600,240.5,0.47,13.3,7,11.2,0.07,10,0.2,0.44
,11:37:57,4,3600,241.5,0.47,13.3,7,11.2,0.07,10,0.3,0.44
,11:37:58,4,3600,242.5,0.47,13.3,7,11.2,0.07,10,0.3,0.44
,11:37:59,4,3600,243.5,0.47,13.3,7,11.2,0.07,10,0.4,0.44
,11:38:00,4,3600,244.5,0.47,13.3,7,11.2,0.07,10,0.4,0.44
