Data file,,SORONA_ISO10_12C_004_12HOURTEST.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG_12HRS.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12 Hour Test,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 14:07:33 on 03/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:08:26,4,43200,52.6,0.03,0,7,10.6,0.004,10,0.1,0.05
,14:08:27,4,43200,53.6,0.33,1.1,7,10.6,0.048,10,0.2,0.34
,14:08:28,4,43200,54.6,0.65,6.1,7,10.6,0.098,10,0.5,0.64
,14:08:29,4,43200,55.6,0.94,11.7,7,10.6,0.136,10,0.5,0.89
,14:08:30,4,43200,56.6,0.94,13.3,7,10.6,0.131,10,0.4,0.88
,14:08:31,4,43200,57.6,0.91,13.3,7,10.6,0.122,10,0.3,0.85
,14:08:32,4,43200,58.6,0.88,13.3,7,10.6,0.119,10,0.2,0.83
,14:08:33,4,43200,59.6,0.87,13.3,7,10.7,0.117,10,0.1,0.81
,14:08:34,4,43200,60.6,0.85,13.3,7,10.7,0.119,10,0.1,0.8
,14:08:35,4,43200,61.6,0.85,13.3,7,10.7,0.118,10,0.1,0.79
,14:08:36,4,43200,62.6,0.84,13.3,7,10.7,0.117,10,0.1,0.79
,14:08:37,4,43200,63.6,0.83,13.3,7,10.7,0.116,10,0,0.78
,14:08:38,4,43200,64.6,0.83,13.3,7,10.7,0.119,10,0.1,0.77
,14:08:39,4,43200,65.6,0.82,13.3,7,10.7,0.123,10,0,0.77
,14:08:40,4,43200,66.6,0.83,13.3,7,10.7,0.124,10,0,0.77
,14:08:41,4,43200,67.6,0.83,13.3,7,10.7,0.125,10,0,0.78
,14:08:42,4,43200,68.6,0.83,13.3,7,10.7,0.12,10,0,0.78
,14:08:43,4,43200,69.6,0.83,13.3,7,10.8,0.12,10,0.1,0.77
,14:08:44,4,43200,70.6,0.83,13.3,7,10.8,0.119,10,0,0.77
,14:08:45,4,43200,71.6,0.82,13.3,7,10.8,0.119,10,0.1,0.77
,14:08:46,4,43200,72.6,0.83,13.3,7,10.8,0.115,10,0,0.77
,14:08:47,4,43200,73.6,0.83,13.3,7,10.8,0.115,10,0.1,0.77
,14:08:48,4,43200,74.6,0.83,13.3,7,10.8,0.115,10,0,0.77
,14:08:49,4,43200,75.6,0.83,13.3,7,10.8,0.12,10,0.1,0.77
,14:08:50,4,43200,76.6,0.83,13.3,7,10.8,0.12,10,0,0.78
