Data file,,ZYTEL_ISO10_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,06/10/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Zytel on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 15:55:53 on 06/10/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:02:27,4,-1,394.1,0.02,0,7,11.1,0.003,10,49.7,0.02
,16:02:28,4,-1,395.1,0.05,0.9,7,11.1,0.007,10,49.8,0.05
,16:02:29,4,-1,396.1,0.13,7.3,7,11.1,0.02,10,49.9,0.14
,16:02:30,4,-1,397.1,0.23,13,6,11.1,0.036,10,49.9,0.23
,16:02:31,4,-1,398.1,0.3,13.3,6,11.1,0.047,10,49.9,0.29
The sample rate is too high and has been reduced to 71.12 kHz,,,,,,,,,,,,
Fast data in,,zytel_iso10_12deg_001-h001.tsv,,,,,,,,,,
,16:02:33,5,5,400,0.36,13.3,7,11.1,0.054,10,49.9,0.35
,16:02:34,5,5,401,0.38,13.3,7,11,0.053,10,49.9,0.36
,16:02:35,5,5,402,0.39,13.3,7,11,0.052,10,49.9,0.37
,16:02:36,5,5,403,0.38,13.3,7,11,0.052,10,49.9,0.37
,16:02:37,5,5,404,0.38,13.3,7,11,0.051,10,49.9,0.36
,16:02:38,6,3590,405,0.37,13.3,7,11,0.052,10,49.9,0.36
,16:02:39,6,3590,406,0.37,13.3,7,10.9,0.054,10,49.9,0.36
,16:02:40,6,3590,407,0.37,13.3,7,10.9,0.054,10,49.9,0.35
,16:02:41,6,3590,408,0.37,13.3,7,10.9,0.054,10,49.9,0.36
,16:02:42,6,3590,409,0.37,13.3,7,10.9,0.054,10,49.9,0.36
,16:02:43,6,3590,410,0.37,13.3,7,10.8,0.054,10,49.9,0.36
,16:02:44,6,3590,411,0.37,13.3,7,10.8,0.052,10,49.9,0.36
,16:02:45,6,3590,412,0.37,13.3,7,10.8,0.051,10,49.9,0.35
