Data file,,ZYTEL-UNHONED_ISO10_12DEG_004_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,21/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,PPA on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 11:26:59 on 21/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:27:41,4,-1,42.5,0.02,0.1,7,13.2,0.004,10,49.9,0.03
,11:27:42,4,-1,43.5,0.15,2.1,6,13.2,0.023,10,49.9,0.16
,11:27:43,4,-1,44.5,0.33,8.3,6,13.2,0.051,10,49.9,0.34
,11:27:44,4,-1,45.5,0.51,13,7,13.2,0.076,10,49.9,0.5
,11:27:45,4,-1,46.5,0.56,13.3,7,13.2,0.085,10,49.9,0.55
,11:27:46,4,-1,47.5,0.56,13.3,7,13.3,0.082,10,49.8,0.55
Fast data in,,zytel-unhoned_iso10_12deg_004_12hrs-h001.tsv,,,,,,,,,,
,11:27:48,5,5,49.2,0.54,13.3,7,13.3,0.079,10,49.8,0.53
,11:27:49,5,5,50.2,0.54,13.3,7,13.3,0.08,10,49.8,0.52
,11:27:50,5,5,51.2,0.53,13.3,7,13.3,0.08,10,49.8,0.52
,11:27:51,5,5,52.2,0.54,13.3,7,13.3,0.077,10,49.8,0.52
,11:27:52,5,5,53.2,0.53,13.3,7,13.3,0.074,10,49.8,0.52
,11:27:53,6,21600,54.2,0.53,13.3,7,13.3,0.073,10,49.8,0.51
,11:27:54,6,21600,55.2,0.52,13.3,7,13.4,0.075,10,49.8,0.5
,11:27:55,6,21600,56.2,0.51,13.3,7,13.4,0.077,10,49.9,0.5
,11:27:56,6,21600,57.2,0.51,13.3,7,13.4,0.077,10,49.9,0.5
,11:27:57,6,21600,58.2,0.52,13.3,7,13.5,0.078,10,49.9,0.5
,11:27:58,6,21600,59.2,0.52,13.3,7,13.5,0.078,10,49.8,0.51
