Data file,,ZYTEL_ISO10_-8C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_-8DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/04/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Zytel on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:04:48 on 01/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,16:19:22,4,3600,869.4,0.02,0,7,-7.8,0.003,10,0,0.02
,16:19:23,4,3600,870.4,0.22,0.8,7,-7.8,0.032,10,0.1,0.23
,16:19:24,4,3600,871.4,0.57,5.5,7,-7.8,0.085,10,0,0.57
,16:19:25,4,3600,872.4,0.96,11.3,7,-7.8,0.139,10,0.1,0.93
,16:19:26,4,3600,873.4,1.15,13.3,7,-7.8,0.161,10,0,1.09
,16:19:27,4,3600,874.4,1.18,13.3,7,-7.8,0.164,10,0.1,1.1
,16:19:28,4,3600,875.4,1.14,13.3,7,-7.8,0.159,10,0.1,1.07
,16:19:29,4,3600,876.4,1.12,13.3,7,-7.8,0.15,10,0.1,1.04
,16:19:30,4,3600,877.4,1.1,13.3,7,-7.8,0.148,10,0.1,1.03
,16:19:31,4,3600,878.4,1.09,13.3,7,-7.8,0.152,10,0.1,1.02
,16:19:32,4,3600,879.4,1.08,13.3,7,-7.8,0.15,10,0.1,1.01
,16:19:33,4,3600,880.4,1.06,13.3,7,-7.9,0.153,10,0.1,0.99
,16:19:34,4,3600,881.4,1.05,13.3,7,-7.9,0.151,10,0.1,0.98
,16:19:35,4,3600,882.4,1.04,13.3,7,-7.9,0.15,10,0.1,0.97
,16:19:36,4,3600,883.4,1.03,13.3,7,-7.9,0.144,10,0.1,0.97
,16:19:37,4,3600,884.4,1.03,13.3,7,-7.9,0.144,10,0.1,0.97
,16:19:38,4,3600,885.4,1.03,13.3,7,-7.9,0.143,10,0.1,0.96
,16:19:39,4,3600,886.4,1.02,13.3,7,-7.9,0.142,10,0.1,0.95
,16:19:40,4,3600,887.4,1.02,13.3,7,-7.9,0.142,10,0.1,0.95
,16:19:41,4,3600,888.4,1.01,13.3,7,-7.8,0.146,10,0.1,0.95
,16:19:42,4,3600,889.4,1,13.3,7,-7.8,0.15,10,0.1,0.94
,16:19:43,4,3600,890.4,1,13.3,7,-7.8,0.15,10,0.1,0.94
,16:19:44,4,3600,891.4,1,13.3,7,-7.8,0.15,10,0.1,0.94
,16:19:45,4,3600,892.4,1.01,13.3,7,-7.7,0.146,10,0.1,0.95
